folder,param1,param2,best_delta_score,csv_name,c,d,corr_p
-5_-60,-5,-60,0.0340028563187888,CHEES_-35_4800.csv,-35,4800,0.0352039747141039
-5_-58,-5,-58,0.0340764197981051,CHEES_-35_4800.csv,-35,4800,0.0353262078424296
-5_-56,-5,-56,0.0341499503994859,CHEES_-35_4800.csv,-35,4800,0.0354567288072419
-5_-54,-5,-54,0.0342692862697815,CHEES_-35_4800.csv,-35,4800,0.0356431678940601
-6_-60,-6,-60,0.0342726324772233,CHEES_-35_4800.csv,-35,4800,0.0354676495336075
-6_-58,-6,-58,0.0343126789712032,CHEES_-35_4800.csv,-35,4800,0.0355556522730414
-6_-56,-6,-56,0.0343574524527658,CHEES_-35_4800.csv,-35,4800,0.0356571047179294
-5_-52,-5,-52,0.0344305971607825,CHEES_-35_4800.csv,-35,4800,0.0358823055518583
-6_-54,-6,-54,0.034470858974385,CHEES_-35_4800.csv,-35,4800,0.0358376248854169
-7_-60,-7,-60,0.0345060634029366,CHEES_-35_4800.csv,-35,4800,0.0356938511043063
-7_-58,-7,-58,0.034542972035727,CHEES_-35_4800.csv,-35,4800,0.0357785961647932
-7_-56,-7,-56,0.0345963658077149,CHEES_-35_4800.csv,-35,4800,0.0358891542257147
-5_-50,-5,-50,0.0346205662836214,CHEES_-35_4900.csv,-35,4900,0.0363824403802746
-6_-52,-6,-52,0.0346445064262767,CHEES_-35_4800.csv,-35,4800,0.0360903481133615
-7_-54,-7,-54,0.0346963145620163,CHEES_-35_4800.csv,-35,4800,0.0360567436837422
-5_-48,-5,-48,0.0347013287715956,CHEES_-35_4900.csv,-35,4900,0.0365784477356687
-6_-50,-6,-50,0.0347893301486948,CHEES_-35_4900.csv,-35,4900,0.036545173751322
-8_-60,-8,-60,0.034809604573193,CHEES_-35_4800.csv,-35,4800,0.035990595611749
-5_-46,-5,-46,0.0348213853321105,CHEES_-35_4900.csv,-35,4900,0.0368316148166151
-8_-58,-8,-58,0.0348304264107311,CHEES_-35_4800.csv,-35,4800,0.036060213782421
-7_-52,-7,-52,0.0348478213133211,CHEES_-35_4800.csv,-35,4800,0.0362875426507235
-6_-48,-6,-48,0.0348579080267976,CHEES_-35_4900.csv,-35,4900,0.0367291401992684
-8_-56,-8,-56,0.0348648869373694,CHEES_-35_4800.csv,-35,4800,0.0361506250938058
-8_-54,-8,-54,0.0349235321105419,CHEES_-35_4800.csv,-35,4800,0.0362764901453425
-6_-46,-6,-46,0.0349449898536987,CHEES_-35_4900.csv,-35,4900,0.0369493591180436
-7_-50,-7,-50,0.0349852510308502,CHEES_-35_4900.csv,-35,4900,0.0367342448752912
-5_-44,-5,-44,0.0349867430659862,CHEES_-35_4900.csv,-35,4900,0.0371502173208532
-7_-48,-7,-48,0.0350301307880101,CHEES_-35_4900.csv,-35,4900,0.0368957046863411
-8_-52,-8,-52,0.0350577181663506,CHEES_-35_4800.csv,-35,4800,0.0364903005072989
