folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-28_-32,-28,-32,CHEES_-28_4200.csv,-28,4200,36.0647034005193,4.13083359128531,1.27735479236936
-28_-34,-28,-34,CHEES_-28_4200.csv,-28,4200,36.3105558987104,3.99883062646694,1.29246901088974
-30_-34,-30,-34,CHEES_-30_4200.csv,-30,4200,36.3444814666369,3.63584448706316,1.30834547918295
-30_-32,-30,-32,CHEES_-30_4200.csv,-30,4200,36.3604374584003,3.73584093740698,1.30498386083973
-30_-35,-30,-35,CHEES_-30_4200.csv,-30,4200,36.3845196979589,3.59057675566536,1.31175771769174
-28_-35,-28,-35,CHEES_-29_4200.csv,-29,4200,36.3995665676446,3.57774549776338,1.31287284279525
-26_-32,-26,-32,CHEES_-27_4200.csv,-27,4200,36.4056411529937,4.14920987041957,1.29025725130297
-30_-36,-30,-36,CHEES_-30_4200.csv,-30,4200,36.4339937365044,3.55203485244681,1.3152783553623
-28_-36,-28,-36,CHEES_-29_4200.csv,-29,4200,36.4545616219918,3.54907477375798,1.31621947392935
-30_-37,-30,-37,CHEES_-30_4200.csv,-30,4200,36.5072351342477,3.51454799078255,1.31970748573861
-28_-37,-28,-37,CHEES_-29_4200.csv,-29,4200,36.5553081700625,3.51765451746264,1.32150614610399
-30_-38,-30,-38,CHEES_-30_4200.csv,-30,4200,36.6021451235358,3.47800815106678,1.32496547889876
-26_-34,-26,-34,CHEES_-27_4200.csv,-27,4200,36.6444550710004,4.04131182765995,1.30412572973362
-28_-38,-28,-38,CHEES_-29_4200.csv,-29,4200,36.6750658421735,3.48621108317538,1.32755419035993
-26_-35,-26,-35,CHEES_-28_4200.csv,-28,4200,36.7314508030283,3.69819130612776,1.32133037987602
-26_-36,-26,-36,CHEES_-28_4200.csv,-28,4200,36.8187710138867,3.65881668284461,1.32639817324168
-30_-40,-30,-40,CHEES_-30_4200.csv,-30,4200,36.8466053770797,3.41156422472631,1.33740164609414
-26_-37,-26,-37,CHEES_-28_4200.csv,-28,4200,36.9418903333958,3.62013713710893,1.33287012785148
-28_-40,-28,-40,CHEES_-29_4200.csv,-29,4200,36.9778942345035,3.42592124227877,1.34207891968899
-30_-42,-30,-42,CHEES_-31_4200.csv,-31,4200,37.0289251353149,3.12141158513514,1.35630054200719
-26_-38,-26,-38,CHEES_-29_4200.csv,-29,4200,37.0699346523177,3.36781131659096,1.34808493342907
-24_-32,-24,-32,CHEES_-27_4200.csv,-27,4200,37.0726686578759,4.01357221919838,1.3223638575471
-24_-34,-24,-34,CHEES_-27_4200.csv,-27,4200,37.1293064657139,3.91151963108174,1.32871147338528
-24_-35,-24,-35,CHEES_-28_4200.csv,-28,4200,37.2063581605148,3.61577860601866,1.34362318217985
-28_-42,-28,-42,CHEES_-30_4200.csv,-30,4200,37.2100545548577,3.17731679382262,1.3613095104414
-24_-36,-24,-36,CHEES_-28_4200.csv,-28,4200,37.2448255348808,3.57787808993444,1.34667789779785
-30_-44,-30,-44,CHEES_-31_4200.csv,-31,4200,37.2687339147362,3.09222567108775,1.36706032974594
-26_-40,-26,-40,CHEES_-29_4200.csv,-29,4200,37.2688257009263,3.31420963429711,1.35818464266517
-20_-38,-20,-38,CHEES_-33_4200.csv,-33,4200,37.2805798903595,2.97891801781968,1.37206647490159
-24_-37,-24,-37,CHEES_-28_4200.csv,-28,4200,37.3225590474882,3.53957510159546,1.35131935783571
-24_-38,-24,-38,CHEES_-28_4200.csv,-28,4200,37.4266882363437,3.50378961721123,1.3569159447653
-28_-44,-28,-44,CHEES_-30_4200.csv,-30,4200,37.5053437274639,3.14052205194909,1.37459286702059
-26_-42,-26,-42,CHEES_-30_4200.csv,-30,4200,37.5160619199854,3.10170296583778,1.3765743581659
-22_-34,-22,-34,CHEES_-27_4200.csv,-27,4200,37.5229522975303,3.85049260382183,1.34689838774834
-22_-32,-22,-32,CHEES_-27_4200.csv,-27,4200,37.5242559918665,3.95767732453454,1.34266314669328
-30_-46,-30,-46,CHEES_-31_4200.csv,-31,4200,37.5676994154418,3.06333911758191,1.3801744119144
-22_-35,-22,-35,CHEES_-28_4200.csv,-28,4200,37.5680814551469,3.57143889428471,1.35986570243449
-22_-36,-22,-36,CHEES_-28_4200.csv,-28,4200,37.5776052874479,3.53459410717055,1.36172044721109
-24_-40,-24,-40,CHEES_-29_4200.csv,-29,4200,37.584854495479,3.25529454888149,1.3731823978639
-22_-37,-22,-37,CHEES_-28_4200.csv,-28,4200,37.639290882135,3.49519977895361,1.36576364412726
-22_-38,-22,-38,CHEES_-28_4200.csv,-28,4200,37.7257303800777,3.45602323112375,1.37078828595816
-26_-44,-26,-44,CHEES_-30_4200.csv,-30,4200,37.7535730785183,3.0675406767429,1.38744129607102
