folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
-28_-32,-28,-32,CHEES_-28_4200.csv,-28,4200,1.27735479236936,9.24025276076275,4.13083359128531
-26_-32,-26,-32,CHEES_-26_4200.csv,-26,4200,1.28835549298542,9.75215635221781,4.59873438027614
-28_-34,-28,-34,CHEES_-28_4200.csv,-28,4200,1.29246901088974,9.1687066700259,3.99883062646694
-28_-35,-28,-35,CHEES_-28_4200.csv,-28,4200,1.30061925175538,9.14465134316847,3.94217433614694
-26_-34,-26,-34,CHEES_-27_4200.csv,-27,4200,1.30412572973362,9.25781474659442,4.04131182765995
-30_-32,-30,-32,CHEES_-30_4200.csv,-30,4200,1.30498386083973,8.9557763807659,3.73584093740698
-30_-34,-30,-34,CHEES_-30_4200.csv,-30,4200,1.30834547918295,8.86922640379496,3.63584448706316
-28_-36,-28,-36,CHEES_-28_4200.csv,-28,4200,1.30948755987717,9.12320422465288,3.88525398514419
-24_-32,-24,-32,CHEES_-26_4200.csv,-26,4200,1.31099454798784,9.56923709676685,4.3252589048155
-30_-35,-30,-35,CHEES_-30_4200.csv,-30,4200,1.31175771769174,8.83760762643232,3.59057675566536
-26_-35,-26,-35,CHEES_-27_4200.csv,-27,4200,1.3130605698071,9.23805281911549,3.98581053988707
-30_-36,-30,-36,CHEES_-30_4200.csv,-30,4200,1.3152783553623,8.81314827389603,3.55203485244681
-28_-37,-28,-37,CHEES_-28_4200.csv,-28,4200,1.31876337464417,9.10729847376231,3.83224497518563
-30_-37,-30,-37,CHEES_-30_4200.csv,-30,4200,1.31970748573861,8.79337793373698,3.51454799078255
-26_-36,-26,-36,CHEES_-27_4200.csv,-27,4200,1.32269544094356,9.22417817470078,3.93339641092653
-30_-38,-30,-38,CHEES_-30_4200.csv,-30,4200,1.32496547889876,8.77787006666182,3.47800815106678
-24_-34,-24,-34,CHEES_-26_4200.csv,-26,4200,1.32707382709186,9.50627452294928,4.19797921458183
-28_-38,-28,-38,CHEES_-29_4200.csv,-29,4200,1.32755419035993,8.79642784461508,3.48621108317538
-26_-37,-26,-37,CHEES_-28_4200.csv,-28,4200,1.33287012785148,8.95161764851484,3.62013713710893
-22_-32,-22,-32,CHEES_-26_4200.csv,-26,4200,1.33366944192392,9.57459735994866,4.23991959225297
-24_-35,-24,-35,CHEES_-27_4200.csv,-27,4200,1.33449631437478,9.19990810005669,3.86192284255756
-30_-40,-30,-40,CHEES_-30_4200.csv,-30,4200,1.33740164609414,8.76117080910286,3.41156422472631
-26_-38,-26,-38,CHEES_-28_4200.csv,-28,4200,1.34002903396983,8.94311447618452,3.58299834030519
-24_-36,-24,-36,CHEES_-27_4200.csv,-27,4200,1.34144700536567,9.17777958458666,3.81199156312397
-28_-40,-28,-40,CHEES_-29_4200.csv,-29,4200,1.34207891968899,8.79423692103473,3.42592124227877
-22_-34,-22,-34,CHEES_-26_4200.csv,-26,4200,1.34588516821423,9.4965245894947,4.11298391663778
-20_-32,-20,-32,CHEES_-26_4200.csv,-26,4200,1.34926086468672,9.58998102836543,4.19293756961856
-24_-37,-24,-37,CHEES_-27_4200.csv,-27,4200,1.34957760166872,9.16140693200729,3.76309652533238
-22_-35,-22,-35,CHEES_-27_4200.csv,-27,4200,1.35129926087576,9.20749700322001,3.80229995971696
-30_-42,-30,-42,CHEES_-30_4200.csv,-30,4200,1.35177146978414,8.75952803097292,3.35244215183636
-26_-40,-26,-40,CHEES_-28_4200.csv,-28,4200,1.35666933877538,8.93884049919737,3.51216314409586
-24_-38,-24,-38,CHEES_-28_4200.csv,-28,4200,1.3569159447653,8.93145339627243,3.50378961721123
-22_-36,-22,-36,CHEES_-27_4200.csv,-27,4200,1.35731971987753,9.18083129788257,3.75155241837245
-28_-42,-28,-42,CHEES_-29_4200.csv,-29,4200,1.35859289184288,8.80511698388587,3.37074541651437
-20_-34,-20,-34,CHEES_-26_4200.csv,-26,4200,1.35985647234221,9.50731343860575,4.06788754923689
-18_-32,-18,-32,CHEES_-26_4200.csv,-26,4200,1.36016368383132,9.60542742276992,4.16477268744465
-20_-35,-20,-35,CHEES_-27_4200.csv,-27,4200,1.36435373857075,9.22187602818267,3.76446107389969
-22_-37,-22,-37,CHEES_-27_4200.csv,-27,4200,1.36449004689695,9.16013358728267,3.70217339969488
-30_-44,-30,-44,CHEES_-31_4200.csv,-31,4200,1.36706032974594,8.5604669900715,3.09222567108775
-16_-32,-16,-32,CHEES_-26_4200.csv,-26,4200,1.3684157461963,9.61873368415209,4.14507069936688
-20_-36,-20,-36,CHEES_-27_4200.csv,-27,4200,1.36995736958842,9.19248006460147,3.71265058624778
-18_-34,-18,-34,CHEES_-27_4200.csv,-27,4200,1.37019865280296,9.2703739170853,3.78957930587346
-22_-38,-22,-38,CHEES_-28_4200.csv,-28,4200,1.37078828595816,8.93917637495639,3.45602323112375
-24_-40,-24,-40,CHEES_-28_4200.csv,-28,4200,1.37131768739619,8.91926727860839,3.43399652902362
-26_-42,-26,-42,CHEES_-29_4200.csv,-29,4200,1.37156997996806,8.74961482165849,3.26333490178626
-20_-38,-20,-38,CHEES_-33_4200.csv,-33,4200,1.37206647490159,8.46718391742606,2.97891801781968
-18_-35,-18,-35,CHEES_-27_4200.csv,-27,4200,1.3739171136055,9.23535664999363,3.73968819557162
-28_-44,-28,-44,CHEES_-30_4200.csv,-30,4200,1.37459286702059,8.63889352003146,3.14052205194909
-14_-32,-14,-32,CHEES_-26_4200.csv,-26,4200,1.37474601225304,9.62981624688069,4.13083219786851
-20_-37,-20,-37,CHEES_-27_4200.csv,-27,4200,1.37627804913365,9.17079362829414,3.66568143175954
-16_-34,-16,-34,CHEES_-27_4200.csv,-27,4200,1.37767907364853,9.28381038832621,3.77309409373209
-18_-36,-18,-36,CHEES_-27_4200.csv,-27,4200,1.37924006151029,9.20556968740512,3.68860944136398
-12_-32,-12,-32,CHEES_-26_4200.csv,-26,4200,1.37994192014742,9.63981509952148,4.12004741893181
-30_-46,-30,-46,CHEES_-31_4200.csv,-31,4200,1.3801744119144,8.5840367652395,3.06333911758191
-16_-35,-16,-35,CHEES_-27_4200.csv,-27,4200,1.38177792287426,9.24816168996043,3.72104999846339
-22_-40,-22,-40,CHEES_-28_4200.csv,-28,4200,1.38312568976497,8.92001205419788,3.38750929513799
-14_-34,-14,-34,CHEES_-27_4200.csv,-27,4200,1.38387683432722,9.29451708132575,3.75900974401688
-10_-32,-10,-32,CHEES_-26_4200.csv,-26,4200,1.384118314192,9.64748510719592,4.11101185042793
-24_-42,-24,-42,CHEES_-29_4200.csv,-29,4200,1.38450754173305,8.74459724784361,3.20656708091141
-18_-37,-18,-37,CHEES_-28_4200.csv,-28,4200,1.38555887517692,8.9861549921421,3.44391949143441
-16_-36,-16,-36,CHEES_-27_4200.csv,-27,4200,1.38721458051419,9.21737965514668,3.66852133308992
-26_-44,-26,-44,CHEES_-29_4200.csv,-29,4200,1.38726412327276,8.76674657724267,3.21769008415165
-8_-32,-8,-32,CHEES_-26_4200.csv,-26,4200,1.38744450385503,9.65407645607284,4.10429844065274
-14_-35,-14,-35,CHEES_-27_4200.csv,-27,4200,1.38795311248838,9.25879582452492,3.70698337457138
-12_-34,-12,-34,CHEES_-27_4200.csv,-27,4200,1.38873137037659,9.30358693150848,3.74866145000211
-7_-32,-7,-32,CHEES_-26_4200.csv,-26,4200,1.3888972160634,9.65683660517623,4.10124774092263
-28_-46,-28,-46,CHEES_-30_4200.csv,-30,4200,1.38945789336184,8.66555466669905,3.10772309325168
-6_-32,-6,-32,CHEES_-26_4200.csv,-26,4200,1.39031801646902,9.66057419522975,4.09930212935368
-18_-38,-18,-38,CHEES_-28_4200.csv,-28,4200,1.39051697110727,8.9675383813374,3.40547049690833
-10_-35,-10,-35,CHEES_-26_4200.csv,-26,4200,1.39086634603519,9.62810020800418,4.06463482386344
-5_-32,-5,-32,CHEES_-26_4200.csv,-26,4200,1.391566644102,9.66332813830917,4.09706156190116
-16_-37,-16,-37,CHEES_-28_4200.csv,-28,4200,1.39277592787617,8.99896636639613,3.42786265489143
-10_-34,-10,-34,CHEES_-27_4200.csv,-27,4200,1.39294610126803,9.31220514664173,3.74042074156962
-12_-35,-12,-35,CHEES_-27_4200.csv,-27,4200,1.39301252200118,9.26790780324204,3.69585771523731
-14_-36,-14,-36,CHEES_-27_4200.csv,-27,4200,1.39307817353839,9.22830657710537,3.6559938829518
-20_-40,-20,-40,CHEES_-28_4200.csv,-28,4200,1.39349404885004,8.92908143008097,3.35510523468081
-30_-48,-30,-48,CHEES_-31_4200.csv,-31,4200,1.39439964482325,8.6156971046304,3.03809852533742
-22_-42,-22,-42,CHEES_-29_4200.csv,-29,4200,1.39547736698169,8.75121090072654,3.16930143279976
-8_-34,-8,-34,CHEES_-27_4200.csv,-27,4200,1.39642861523054,9.31903136774924,3.7333169068271
-16_-38,-16,-38,CHEES_-28_4200.csv,-28,4200,1.39749746757558,8.97828691441331,3.38829704411101
-7_-34,-7,-34,CHEES_-27_4200.csv,-27,4200,1.39788713785509,9.32291815585507,3.73136960443469
-12_-36,-12,-36,CHEES_-27_4200.csv,-27,4200,1.39839889731773,9.23756127371123,3.64396568444031
-24_-44,-24,-44,CHEES_-29_4200.csv,-29,4200,1.39848303265396,8.75473463805792,3.16080250744207
-14_-37,-14,-37,CHEES_-28_4200.csv,-28,4200,1.39865440938232,9.01139774251338,3.41678010498411
-6_-34,-6,-34,CHEES_-27_4200.csv,-27,4200,1.39925973626806,9.32439005241137,3.72735110733915
-26_-46,-26,-46,CHEES_-30_4200.csv,-30,4200,1.4005023555539,8.63710240282593,3.03509298061034
-5_-34,-5,-34,CHEES_-27_4200.csv,-27,4200,1.40072326547259,9.32821266216457,3.72531960027419
-8_-35,-8,-35,CHEES_-27_4200.csv,-27,4200,1.40136280117237,9.28622106893062,3.68076986424114
-18_-40,-18,-40,CHEES_-28_4200.csv,-28,4200,1.40174112591895,8.93960787157985,3.33264336790404
-7_-35,-7,-35,CHEES_-27_4200.csv,-27,4200,1.40244127233619,9.2870723121745,3.67730722282973
-10_-36,-10,-36,CHEES_-27_4200.csv,-27,4200,1.40266739844324,9.24589218221245,3.6352225884395
-14_-38,-14,-38,CHEES_-28_4200.csv,-28,4200,1.40335283154278,8.98929182798815,3.37588050181704
-12_-37,-12,-37,CHEES_-28_4200.csv,-28,4200,1.40361609330725,9.02025636230963,3.40579198908063
-28_-48,-28,-48,CHEES_-31_4200.csv,-31,4200,1.40368043990782,8.55893022636837,2.94420846673708
-6_-35,-6,-35,CHEES_-27_4200.csv,-27,4200,1.40401227511814,9.29052150740502,3.67447240693248
-20_-42,-20,-42,CHEES_-29_4200.csv,-29,4200,1.40483055259027,8.76217174417404,3.14284953381297
-5_-35,-5,-35,CHEES_-27_4200.csv,-27,4200,1.40555086447641,9.29249976867254,3.67029631076691
-8_-36,-8,-36,CHEES_-27_4200.csv,-27,4200,1.40653397374009,9.25366859738847,3.6275327024281
-10_-37,-10,-37,CHEES_-28_4200.csv,-28,4200,1.40775359574178,9.02911479856319,3.39810041559606
-7_-36,-7,-36,CHEES_-27_4200.csv,-27,4200,1.40822394711171,9.25590205153432,3.6230062630875
-12_-38,-12,-38,CHEES_-28_4200.csv,-28,4200,1.40828686757147,8.99867683847832,3.36552936819243
-22_-44,-22,-44,CHEES_-29_4200.csv,-29,4200,1.40844089889551,8.75774928991623,3.12398569433418
-16_-40,-16,-40,CHEES_-28_4200.csv,-28,4200,1.40858621885889,8.9497733365076,3.31542846107204
-30_-50,-30,-50,CHEES_-32_4200.csv,-32,4200,1.40901453333244,8.51860670773197,2.88254857440219
-6_-36,-6,-36,CHEES_-27_4200.csv,-27,4200,1.4103901632933,9.26179438592508,3.62023373275189
-24_-46,-24,-46,CHEES_-30_4200.csv,-30,4200,1.41073475819914,8.63425765614641,2.99131862334987
-5_-36,-5,-36,CHEES_-27_4200.csv,-27,4200,1.41122516285289,9.26323920917903,3.61833855776745
-8_-37,-8,-37,CHEES_-28_4200.csv,-28,4200,1.41129515085689,9.03691129230664,3.39173068887909
-18_-42,-18,-42,CHEES_-29_4200.csv,-29,4200,1.41261187437983,8.77230155694815,3.12185405942881
-10_-38,-10,-38,CHEES_-28_4200.csv,-28,4200,1.4126642489883,9.00674014098048,3.35608314502728
-7_-37,-7,-37,CHEES_-28_4200.csv,-28,4200,1.41296101283242,9.03958436626051,3.38774031493084
-6_-37,-6,-37,CHEES_-28_4200.csv,-28,4200,1.41434502369879,9.04327503982158,3.38589494502644
-26_-48,-26,-48,CHEES_-31_4200.csv,-31,4200,1.41460658820738,8.5476888546267,2.88926250179719
-14_-40,-14,-40,CHEES_-28_4200.csv,-28,4200,1.41469528801206,8.96011417411121,3.30133302206298
-5_-37,-5,-37,CHEES_-28_4200.csv,-28,4200,1.41590352235124,9.04721297074338,3.3835988813384
-8_-38,-8,-38,CHEES_-28_4200.csv,-28,4200,1.41632182125802,9.01431423810297,3.34902695307088
-20_-44,-20,-44,CHEES_-29_4200.csv,-29,4200,1.41718444673108,8.76463663212191,3.09589884519759
-28_-50,-28,-50,CHEES_-31_4200.csv,-31,4200,1.41756682872003,8.59475689433733,2.92448957945721
-7_-38,-7,-38,CHEES_-28_4200.csv,-28,4200,1.41799043882086,9.01787982955272,3.34591807426929
-6_-38,-6,-38,CHEES_-28_4200.csv,-28,4200,1.41937688381572,9.021561686213,3.34405415095013
-16_-42,-16,-42,CHEES_-29_4200.csv,-29,4200,1.41945616142216,8.78535770908843,3.1075330633998
-12_-40,-12,-40,CHEES_-28_4200.csv,-28,4200,1.4195537641608,8.96947129822236,3.29125624157918
-22_-46,-22,-46,CHEES_-30_4200.csv,-30,4200,1.42005490060247,8.64022519435915,2.96000559194926
-16_-46,-16,-46,CHEES_-32_4200.csv,-32,4200,1.42074621955485,8.4712797821336,2.78829490391421
-5_-38,-5,-38,CHEES_-28_4200.csv,-28,4200,1.42076877963484,9.02408776459018,3.34101264605082
-12_-48,-12,-48,CHEES_-31_4200.csv,-31,4200,1.42154565912229,8.76158283466496,3.07540019817581
-30_-52,-30,-52,CHEES_-32_4200.csv,-32,4200,1.42212713798428,8.55868218651111,2.87017363457399
