folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
-28_-32,-28,-32,CHEES_-28_4200.csv,-28,4200,1.27735479236936,4.18192778298008,4.13083359128531
-26_-32,-26,-32,CHEES_-26_4200.csv,-26,4200,1.28835549298542,4.65026859999555,4.59873438027614
-28_-34,-28,-34,CHEES_-28_4200.csv,-28,4200,1.29246901088974,4.05052938690253,3.99883062646694
-28_-35,-28,-35,CHEES_-28_4200.csv,-28,4200,1.30061925175538,3.99419910621716,3.94217433614694
-26_-34,-26,-34,CHEES_-27_4200.csv,-27,4200,1.30412572973362,4.0934768568493,4.04131182765995
-30_-32,-30,-32,CHEES_-30_4200.csv,-30,4200,1.30498386083973,3.78804029184057,3.73584093740698
-30_-34,-30,-34,CHEES_-30_4200.csv,-30,4200,1.30834547918295,3.68817830623048,3.63584448706316
-28_-36,-28,-36,CHEES_-28_4200.csv,-28,4200,1.30948755987717,3.93763348753928,3.88525398514419
-24_-32,-24,-32,CHEES_-26_4200.csv,-26,4200,1.31099454798784,4.37769868673502,4.3252589048155
-30_-35,-30,-35,CHEES_-30_4200.csv,-30,4200,1.31175771769174,3.64304706437303,3.59057675566536
-26_-35,-26,-35,CHEES_-27_4200.csv,-27,4200,1.3130605698071,4.03833296267936,3.98581053988707
-30_-36,-30,-36,CHEES_-30_4200.csv,-30,4200,1.3152783553623,3.60464598666131,3.55203485244681
-28_-37,-28,-37,CHEES_-28_4200.csv,-28,4200,1.31876337464417,3.8849955101714,3.83224497518563
-30_-37,-30,-37,CHEES_-30_4200.csv,-30,4200,1.31970748573861,3.5673362902121,3.51454799078255
-26_-36,-26,-36,CHEES_-27_4200.csv,-27,4200,1.32269544094356,3.98630422856427,3.93339641092653
-30_-38,-30,-38,CHEES_-30_4200.csv,-30,4200,1.32496547889876,3.53100677022273,3.47800815106678
-24_-34,-24,-34,CHEES_-26_4200.csv,-26,4200,1.32707382709186,4.2510621676655,4.19797921458183
-28_-38,-28,-38,CHEES_-29_4200.csv,-29,4200,1.32755419035993,3.53931325078978,3.48621108317538
-26_-37,-26,-37,CHEES_-28_4200.csv,-28,4200,1.33287012785148,3.67345194222299,3.62013713710893
-22_-32,-22,-32,CHEES_-26_4200.csv,-26,4200,1.33366944192392,4.29326636992992,4.23991959225297
-24_-35,-24,-35,CHEES_-27_4200.csv,-27,4200,1.33449631437478,3.91530269513255,3.86192284255756
-30_-40,-30,-40,CHEES_-30_4200.csv,-30,4200,1.33740164609414,3.46506029057008,3.41156422472631
-26_-38,-26,-38,CHEES_-28_4200.csv,-28,4200,1.34002903396983,3.63659950166398,3.58299834030519
-24_-36,-24,-36,CHEES_-27_4200.csv,-27,4200,1.34144700536567,3.8656494433386,3.81199156312397
-28_-40,-28,-40,CHEES_-29_4200.csv,-29,4200,1.34207891968899,3.47960439906633,3.42592124227877
-22_-34,-22,-34,CHEES_-26_4200.csv,-26,4200,1.34588516821423,4.16681932336635,4.11298391663778
-20_-32,-20,-32,CHEES_-26_4200.csv,-26,4200,1.34926086468672,4.24690800420603,4.19293756961856
-24_-37,-24,-37,CHEES_-27_4200.csv,-27,4200,1.34957760166872,3.81707962939913,3.76309652533238
-22_-35,-22,-35,CHEES_-27_4200.csv,-27,4200,1.35129926087576,3.85635193015199,3.80229995971696
-30_-42,-30,-42,CHEES_-30_4200.csv,-30,4200,1.35177146978414,3.40651301062773,3.35244215183636
-26_-40,-26,-40,CHEES_-28_4200.csv,-28,4200,1.35666933877538,3.56642991764688,3.51216314409586
-24_-38,-24,-38,CHEES_-28_4200.csv,-28,4200,1.3569159447653,3.55806625500184,3.50378961721123
-22_-36,-22,-36,CHEES_-27_4200.csv,-27,4200,1.35731971987753,3.80584520716755,3.75155241837245
-28_-42,-28,-42,CHEES_-29_4200.csv,-29,4200,1.35859289184288,3.42508913218809,3.37074541651437
-20_-34,-20,-34,CHEES_-26_4200.csv,-26,4200,1.35985647234221,4.12228180813058,4.06788754923689
-18_-32,-18,-32,CHEES_-26_4200.csv,-26,4200,1.36016368383132,4.2191792347979,4.16477268744465
-20_-35,-20,-35,CHEES_-27_4200.csv,-27,4200,1.36435373857075,3.81903522344252,3.76446107389969
-22_-37,-22,-37,CHEES_-27_4200.csv,-27,4200,1.36449004689695,3.75675300157076,3.70217339969488
-30_-44,-30,-44,CHEES_-31_4200.csv,-31,4200,1.36706032974594,3.14690808427759,3.09222567108775
-16_-32,-16,-32,CHEES_-26_4200.csv,-26,4200,1.3684157461963,4.19980732921473,4.14507069936688
-20_-36,-20,-36,CHEES_-27_4200.csv,-27,4200,1.36995736958842,3.76744888103132,3.71265058624778
-18_-34,-18,-34,CHEES_-27_4200.csv,-27,4200,1.37019865280296,3.84438725198558,3.78957930587346
-22_-38,-22,-38,CHEES_-28_4200.csv,-28,4200,1.37078828595816,3.51085476256207,3.45602323112375
-24_-40,-24,-40,CHEES_-28_4200.csv,-28,4200,1.37131768739619,3.48884923651947,3.43399652902362
-26_-42,-26,-42,CHEES_-29_4200.csv,-29,4200,1.37156997996806,3.31819770098498,3.26333490178626
-20_-38,-20,-38,CHEES_-33_4200.csv,-33,4200,1.37206647490159,3.03380067681574,2.97891801781968
