folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-10_-35,-10,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-12_-35,-12,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-14_-35,-14,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-16_-35,-16,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-18_-35,-18,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-20_-35,-20,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-22_-35,-22,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-24_-35,-24,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-26_-35,-26,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-28_-35,-28,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-30_-35,-30,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-5_-35,-5,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-6_-35,-6,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-7_-35,-7,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-8_-35,-8,-35,CHEES_-35_5000.csv,-35,5000,2.359828398,2.267119239,2.317728965
-5_-36,-5,-36,CHEES_-35_4900.csv,-35,4900,2.362278919,2.275183687,2.177380802
-6_-36,-6,-36,CHEES_-35_4900.csv,-35,4900,2.362397201,2.275315949,2.177031296
-7_-36,-7,-36,CHEES_-35_4900.csv,-35,4900,2.36253625,2.275464719,2.176788288
-8_-36,-8,-36,CHEES_-35_4900.csv,-35,4900,2.362657087,2.275592847,2.176606009
-10_-36,-10,-36,CHEES_-35_4900.csv,-35,4900,2.362905917,2.27587408,2.175795916
-12_-36,-12,-36,CHEES_-35_4900.csv,-35,4900,2.363244152,2.276245498,2.174966345
-14_-36,-14,-36,CHEES_-35_4900.csv,-35,4900,2.363664861,2.276704473,2.174009708
-16_-36,-16,-36,CHEES_-35_4900.csv,-35,4900,2.364160418,2.277241422,2.17297489
-18_-36,-18,-36,CHEES_-35_5000.csv,-35,5000,2.364744222,2.273976747,2.269186867
-20_-36,-20,-36,CHEES_-35_5000.csv,-35,5000,2.365447158,2.274753686,2.267336807
-22_-36,-22,-36,CHEES_-35_5000.csv,-35,5000,2.366413252,2.275810583,2.265066726
-24_-36,-24,-36,CHEES_-35_5000.csv,-35,5000,2.367653498,2.277165631,2.262196663
-26_-36,-26,-36,CHEES_-35_5000.csv,-35,5000,2.369472467,2.279156567,2.257897494
-28_-36,-28,-36,CHEES_-35_5000.csv,-35,5000,2.372195204,2.282117767,2.251935904
-30_-36,-30,-36,CHEES_-35_5000.csv,-35,5000,2.377115029,2.287468138,2.241172289
-5_-37,-5,-37,CHEES_-35_4900.csv,-35,4900,2.36431443,2.278688623,2.140645177
-6_-37,-6,-37,CHEES_-35_4900.csv,-35,4900,2.36454591,2.278945492,2.140010441
-7_-37,-7,-37,CHEES_-35_4900.csv,-35,4900,2.364760123,2.279171249,2.139721859
-8_-37,-8,-37,CHEES_-35_4900.csv,-35,4900,2.365002178,2.27943611,2.139151699
-10_-37,-10,-37,CHEES_-35_4900.csv,-35,4900,2.365569633,2.280051075,2.137963953
-12_-37,-12,-37,CHEES_-35_4900.csv,-35,4900,2.366228941,2.280764247,2.136617347
-14_-37,-14,-37,CHEES_-35_4900.csv,-35,4900,2.367018885,2.281624424,2.134861516
-16_-37,-16,-37,CHEES_-35_4900.csv,-35,4900,2.367942633,2.282622758,2.13299689
-18_-37,-18,-37,CHEES_-35_4900.csv,-35,4900,2.369085411,2.283851958,2.130836332
-20_-37,-20,-37,CHEES_-35_4900.csv,-35,4900,2.370586888,2.285487771,2.127477925
-22_-37,-22,-37,CHEES_-35_4900.csv,-35,4900,2.372457461,2.287504234,2.123830694
-24_-37,-24,-37,CHEES_-35_4900.csv,-35,4900,2.375028644,2.290285358,2.118582147
-26_-37,-26,-37,CHEES_-35_4900.csv,-35,4900,2.378630248,2.294163432,2.111670388
-28_-37,-28,-37,CHEES_-35_5000.csv,-35,5000,2.384068346,2.296275136,2.194830246
-30_-37,-30,-37,CHEES_-35_5000.csv,-35,5000,2.393127592,2.30601377,2.177845543
-5_-38,-5,-38,CHEES_-35_4900.csv,-35,4900,2.366659102,2.282365119,2.107349575
-6_-38,-6,-38,CHEES_-35_4900.csv,-35,4900,2.366973696,2.282707266,2.106660757
-7_-38,-7,-38,CHEES_-35_4900.csv,-35,4900,2.367324234,2.283085106,2.105978213
-8_-38,-8,-38,CHEES_-35_4900.csv,-35,4900,2.367694298,2.283484573,2.10524311
-12_-38,-12,-38,CHEES_-35_4900.csv,-35,4900,2.369489662,2.285434598,2.101376589
-10_-38,-10,-38,CHEES_-35_5000.csv,-35,5000,2.370296719,2.282491145,2.195139351
-14_-38,-14,-38,CHEES_-35_4900.csv,-35,4900,2.370626512,2.286656504,2.099250204
-16_-38,-16,-38,CHEES_-35_4900.csv,-35,4900,2.372034228,2.288175689,2.096463488
-18_-38,-18,-38,CHEES_-35_4900.csv,-35,4900,2.373768221,2.290058296,2.092748124
-20_-38,-20,-38,CHEES_-35_4900.csv,-35,4900,2.375884374,2.292333609,2.088769125
-22_-38,-22,-38,CHEES_-35_4900.csv,-35,4900,2.378615944,2.295270141,2.083645079
-24_-38,-24,-38,CHEES_-35_4900.csv,-35,4900,2.38223187,2.299143084,2.077219649
-26_-38,-26,-38,CHEES_-35_4900.csv,-35,4900,2.387440524,2.304716242,2.068107051
-28_-38,-28,-38,CHEES_-35_4900.csv,-35,4900,2.395066963,2.312869095,2.054946703
-30_-38,-30,-38,CHEES_-35_5000.csv,-35,5000,2.407766412,2.322784947,2.124536605
-5_-40,-5,-40,CHEES_-35_4900.csv,-35,4900,2.372197923,2.29026712,2.048270079
-7_-40,-7,-40,CHEES_-35_4900.csv,-35,4900,2.373295879,2.291446634,2.046231135
-8_-40,-8,-40,CHEES_-35_4900.csv,-35,4900,2.373866244,2.292065536,2.045017686
-10_-40,-10,-40,CHEES_-35_4900.csv,-35,4900,2.375343479,2.293620672,2.04307017
-6_-40,-6,-40,CHEES_-35_4800.csv,-35,4800,2.375582943,2.296984478,1.964961624
-12_-40,-12,-40,CHEES_-35_4900.csv,-35,4900,2.376719828,2.295142276,2.039438787
-14_-40,-14,-40,CHEES_-35_4900.csv,-35,4900,2.378551539,2.297106948,2.036114789
-16_-40,-16,-40,CHEES_-35_4900.csv,-35,4900,2.380702941,2.299416303,2.03216594
-18_-40,-18,-40,CHEES_-35_4900.csv,-35,4900,2.383374212,2.302278051,2.027404024
-20_-40,-20,-40,CHEES_-35_4900.csv,-35,4900,2.386635591,2.305765619,2.021749317
-22_-40,-22,-40,CHEES_-35_4900.csv,-35,4900,2.390851552,2.310265909,2.014641087
-24_-40,-24,-40,CHEES_-35_4900.csv,-35,4900,2.396412938,2.316186694,2.005656108
-26_-40,-26,-40,CHEES_-35_4900.csv,-35,4900,2.404030498,2.324255354,1.994378596
-28_-40,-28,-40,CHEES_-35_4900.csv,-35,4900,2.415367831,2.336221709,1.97865305
-30_-40,-30,-40,CHEES_-35_4900.csv,-35,4900,2.43349155,2.35526512,1.955660751
-5_-42,-5,-42,CHEES_-35_4900.csv,-35,4900,2.37870559,2.298756605,1.99872462
-6_-42,-6,-42,CHEES_-35_4900.csv,-35,4900,2.379384805,2.299482827,1.997549456
-7_-42,-7,-42,CHEES_-35_4900.csv,-35,4900,2.380148669,2.300306391,1.99605697
-8_-42,-8,-42,CHEES_-35_4900.csv,-35,4900,2.380943645,2.301155489,1.994703908
