folder,param1,param2,best_mu_score,csv_name,c,d,corr_p
-28_-32,-28,-32,0.00715830432417055,CHEES_-28_4200.csv,-28,4200,0.277398598405453
-30_-40,-30,-40,0.00717412142779442,CHEES_-30_4200.csv,-30,4200,0.180000327337595
-30_-38,-30,-38,0.0072103654958113,CHEES_-30_4200.csv,-30,4200,0.189897589877259
-28_-34,-28,-34,0.0072745417028425,CHEES_-28_4200.csv,-28,4200,0.259128416682857
-30_-37,-30,-37,0.00735688711112184,CHEES_-30_4200.csv,-30,4200,0.195272910646931
-30_-44,-30,-44,0.00736368505592989,CHEES_-31_4200.csv,-31,4200,0.136570501960772
-30_-42,-30,-42,0.00741528337010846,CHEES_-30_4200.csv,-30,4200,0.171061701150257
-28_-35,-28,-35,0.00746857421652545,CHEES_-28_4200.csv,-28,4200,0.251227022590381
-30_-46,-30,-46,0.00753090312994855,CHEES_-31_4200.csv,-31,4200,0.131492285522004
-30_-36,-30,-36,0.00759007644850719,CHEES_-30_4200.csv,-30,4200,0.200752076470981
-28_-36,-28,-36,0.00772601354884601,CHEES_-28_4200.csv,-28,4200,0.243268030624698
-28_-38,-28,-38,0.00777637135021026,CHEES_-29_4200.csv,-29,4200,0.191181095697433
-28_-37,-28,-37,0.00781739261164441,CHEES_-29_4200.csv,-29,4200,0.195909691256249
-30_-48,-30,-48,0.00784872537222677,CHEES_-32_4200.csv,-32,4200,0.108807797241377
-30_-35,-30,-35,0.00793899661631171,CHEES_-30_4200.csv,-30,4200,0.206368506476808
-30_-50,-30,-50,0.00795533996554239,CHEES_-32_4200.csv,-32,4200,0.105724679194977
-28_-40,-28,-40,0.00801264854070317,CHEES_-29_4200.csv,-29,4200,0.182072114865008
-30_-52,-30,-52,0.00824667466330151,CHEES_-33_4200.csv,-33,4200,0.0892954842777325
-30_-54,-30,-54,0.00832896847786756,CHEES_-33_4200.csv,-33,4200,0.0873711327242207
-30_-34,-30,-34,0.00839654835657004,CHEES_-30_4200.csv,-30,4200,0.212923764225953
-28_-42,-28,-42,0.00842108768914943,CHEES_-30_4200.csv,-30,4200,0.149012519644285
-30_-56,-30,-56,0.00854869062404194,CHEES_-34_4200.csv,-34,4200,0.0749980217229475
-28_-44,-28,-44,0.00856559631202139,CHEES_-30_4200.csv,-30,4200,0.14290128008898
-30_-58,-30,-58,0.008629161415841,CHEES_-34_4200.csv,-34,4200,0.0738662796155687
-30_-60,-30,-60,0.00879158272047908,CHEES_-35_4200.csv,-35,4200,0.0643709139954819
-28_-46,-28,-46,0.00884742271595609,CHEES_-31_4200.csv,-31,4200,0.119053514495569
-28_-48,-28,-48,0.00897619371497204,CHEES_-31_4200.csv,-31,4200,0.115148138212942
-26_-32,-26,-32,0.00897656104123636,CHEES_-27_4200.csv,-27,4200,0.279951589778631
-26_-34,-26,-34,0.00902590481513058,CHEES_-27_4200.csv,-27,4200,0.264781489064128
-28_-50,-28,-50,0.00914975997410672,CHEES_-32_4200.csv,-32,4200,0.0971914317413342
-28_-52,-28,-52,0.00928570882894949,CHEES_-32_4200.csv,-32,4200,0.0945945449900531
-26_-35,-26,-35,0.00928994393387747,CHEES_-27_4200.csv,-27,4200,0.256998346622044
-28_-54,-28,-54,0.00937216644777587,CHEES_-33_4200.csv,-33,4200,0.0809254820216209
-28_-56,-28,-56,0.00950474431418941,CHEES_-33_4200.csv,-33,4200,0.0792688956061201
-28_-58,-28,-58,0.00953882254629847,CHEES_-34_4200.csv,-34,4200,0.0686843474719563
-26_-37,-26,-37,0.00957416856221267,CHEES_-28_4200.csv,-28,4200,0.209105096276129
-26_-36,-26,-36,0.00959618101469385,CHEES_-28_4200.csv,-28,4200,0.214771657728808
-26_-38,-26,-38,0.00966743306601552,CHEES_-28_4200.csv,-28,4200,0.203663738595331
-28_-60,-28,-60,0.00967780868543431,CHEES_-35_4200.csv,-35,4200,0.0600870683199694
-30_-32,-30,-32,0.00975530473458365,CHEES_-30_4200.csv,-30,4200,0.227240022422568
-26_-40,-26,-40,0.00990788038041746,CHEES_-29_4200.csv,-29,4200,0.168042825663873
-26_-42,-26,-42,0.0100336075646925,CHEES_-29_4200.csv,-29,4200,0.160139536543216
-26_-44,-26,-44,0.0101150157385541,CHEES_-30_4200.csv,-30,4200,0.133765013411951
-26_-48,-26,-48,0.0102336375314069,CHEES_-31_4200.csv,-31,4200,0.108206496869346
-26_-46,-26,-46,0.01026974427798,CHEES_-30_4200.csv,-30,4200,0.12823544551443
-26_-50,-26,-50,0.0103351048144664,CHEES_-32_4200.csv,-32,4200,0.0917926810186389
-26_-52,-26,-52,0.0103449190415147,CHEES_-32_4200.csv,-32,4200,0.089236017202055
-26_-54,-26,-54,0.0103887294120701,CHEES_-33_4200.csv,-33,4200,0.0765497986632543
-26_-56,-26,-56,0.0104278584826053,CHEES_-33_4200.csv,-33,4200,0.0748525696630488
