folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
-28_-32,-28,-32,CHEES_-28_4200.csv,-28,4200,1.27735479236936,5.27654008430862,4.13083359128531
-26_-32,-26,-32,CHEES_-26_4200.csv,-26,4200,1.28835549298542,5.92480469960966,4.59873438027614
-28_-34,-28,-34,CHEES_-28_4200.csv,-28,4200,1.29246901088974,5.16836466450532,3.99883062646694
-28_-35,-28,-35,CHEES_-28_4200.csv,-28,4200,1.30061925175538,5.12726783536871,3.94217433614694
-26_-34,-26,-34,CHEES_-27_4200.csv,-27,4200,1.30412572973362,5.27037873632813,4.04131182765995
-30_-32,-30,-32,CHEES_-30_4200.csv,-30,4200,1.30498386083973,4.87521212998048,3.73584093740698
-30_-34,-30,-34,CHEES_-30_4200.csv,-30,4200,1.30834547918295,4.75694069766134,3.63584448706316
-28_-36,-28,-36,CHEES_-28_4200.csv,-28,4200,1.30948755987717,5.08769176050952,3.88525398514419
-24_-32,-24,-32,CHEES_-26_4200.csv,-26,4200,1.31099454798784,5.67039084284897,4.3252589048155
-30_-35,-30,-35,CHEES_-30_4200.csv,-30,4200,1.31175771769174,4.70996677020861,3.59057675566536
-26_-35,-26,-35,CHEES_-27_4200.csv,-27,4200,1.3130605698071,5.23361065864728,3.98581053988707
-30_-36,-30,-36,CHEES_-30_4200.csv,-30,4200,1.3152783553623,4.67191455891583,3.55203485244681
-28_-37,-28,-37,CHEES_-28_4200.csv,-28,4200,1.31876337464417,5.05382431593896,3.83224497518563
-30_-37,-30,-37,CHEES_-30_4200.csv,-30,4200,1.31970748573861,4.63817529242331,3.51454799078255
-26_-36,-26,-36,CHEES_-27_4200.csv,-27,4200,1.32269544094356,5.20268550015629,3.93339641092653
-30_-38,-30,-38,CHEES_-30_4200.csv,-30,4200,1.32496547889876,4.60824073549198,3.47800815106678
-24_-34,-24,-34,CHEES_-26_4200.csv,-26,4200,1.32707382709186,5.5710283423472,4.19797921458183
-28_-38,-28,-38,CHEES_-29_4200.csv,-29,4200,1.32755419035993,4.62813413194869,3.48621108317538
-26_-37,-26,-37,CHEES_-28_4200.csv,-28,4200,1.33287012785148,4.82517264877826,3.62013713710893
-22_-32,-22,-32,CHEES_-26_4200.csv,-26,4200,1.33366944192392,5.65465119640232,4.23991959225297
-24_-35,-24,-35,CHEES_-27_4200.csv,-27,4200,1.33449631437478,5.15372179979285,3.86192284255756
-30_-40,-30,-40,CHEES_-30_4200.csv,-30,4200,1.33740164609414,4.56263160990484,3.41156422472631
-26_-38,-26,-38,CHEES_-28_4200.csv,-28,4200,1.34002903396983,4.80132180467468,3.58299834030519
-24_-36,-24,-36,CHEES_-27_4200.csv,-27,4200,1.34144700536567,5.11358466683186,3.81199156312397
-28_-40,-28,-40,CHEES_-29_4200.csv,-29,4200,1.34207891968899,4.59785667977706,3.42592124227877
-22_-34,-22,-34,CHEES_-26_4200.csv,-26,4200,1.34588516821423,5.53560405050646,4.11298391663778
-20_-32,-20,-32,CHEES_-26_4200.csv,-26,4200,1.34926086468672,5.65736657076097,4.19293756961856
-24_-37,-24,-37,CHEES_-27_4200.csv,-27,4200,1.34957760166872,5.07859078350599,3.76309652533238
-22_-35,-22,-35,CHEES_-27_4200.csv,-27,4200,1.35129926087576,5.13804512519346,3.80229995971696
-30_-42,-30,-42,CHEES_-30_4200.csv,-30,4200,1.35177146978414,4.53173565495414,3.35244215183636
-26_-40,-26,-40,CHEES_-28_4200.csv,-28,4200,1.35666933877538,4.76484405037178,3.51216314409586
-24_-38,-24,-38,CHEES_-28_4200.csv,-28,4200,1.3569159447653,4.75434799869702,3.50378961721123
-22_-36,-22,-36,CHEES_-27_4200.csv,-27,4200,1.35731971987753,5.09205607761116,3.75155241837245
-28_-42,-28,-42,CHEES_-29_4200.csv,-29,4200,1.35859289184288,4.57947076308838,3.37074541651437
-20_-34,-20,-34,CHEES_-26_4200.csv,-26,4200,1.35985647234221,5.5317432125901,4.06788754923689
-18_-32,-18,-32,CHEES_-26_4200.csv,-26,4200,1.36016368383132,5.66477256087477,4.16477268744465
-20_-35,-20,-35,CHEES_-27_4200.csv,-27,4200,1.36435373857075,5.13605653987908,3.76446107389969
-22_-37,-22,-37,CHEES_-27_4200.csv,-27,4200,1.36449004689695,5.0515787557703,3.70217339969488
-30_-44,-30,-44,CHEES_-31_4200.csv,-31,4200,1.36706032974594,4.22725904556607,3.09222567108775
-16_-32,-16,-32,CHEES_-26_4200.csv,-26,4200,1.3684157461963,5.67218001411056,4.14507069936688
-20_-36,-20,-36,CHEES_-27_4200.csv,-27,4200,1.36995736958842,5.08617303133693,3.71265058624778
-18_-34,-18,-34,CHEES_-27_4200.csv,-27,4200,1.37019865280296,5.1924764595978,3.78957930587346
-22_-38,-22,-38,CHEES_-28_4200.csv,-28,4200,1.37078828595816,4.7374761612237,3.45602323112375
-24_-40,-24,-40,CHEES_-28_4200.csv,-28,4200,1.37131768739619,4.70910017870723,3.43399652902362
-26_-42,-26,-42,CHEES_-29_4200.csv,-29,4200,1.37156997996806,4.47589218587204,3.26333490178626
-20_-38,-20,-38,CHEES_-33_4200.csv,-33,4200,1.37206647490159,4.08727354373069,2.97891801781968
-18_-35,-18,-35,CHEES_-27_4200.csv,-27,4200,1.3739171136055,5.13802161144434,3.73968819557162
-28_-44,-28,-44,CHEES_-30_4200.csv,-30,4200,1.37459286702059,4.31693921133009,3.14052205194909
-14_-32,-14,-32,CHEES_-26_4200.csv,-26,4200,1.37474601225304,5.67884509130621,4.13083219786851
-20_-37,-20,-37,CHEES_-27_4200.csv,-27,4200,1.37627804913365,5.04499688964747,3.66568143175954
-16_-34,-16,-34,CHEES_-27_4200.csv,-27,4200,1.37767907364853,5.19811277584157,3.77309409373209
-18_-36,-18,-36,CHEES_-27_4200.csv,-27,4200,1.37924006151029,5.08747791279427,3.68860944136398
