folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-12_-52,-12,-52,CHEES_-35_4200.csv,-35,4200,3.69978842926591,2.45662871970401,1.50604297653561
-14_-52,-14,-52,CHEES_-35_4200.csv,-35,4200,3.70006436706177,2.46277110121765,1.50239880808751
-16_-52,-16,-52,CHEES_-35_4200.csv,-35,4200,3.70020954000712,2.46999547332347,1.49806328795751
-10_-52,-10,-52,CHEES_-35_4200.csv,-35,4200,3.70061030388032,2.45127860959837,1.50966531890336
-18_-52,-18,-52,CHEES_-35_4200.csv,-35,4200,3.70063207565907,2.47831170573526,1.4932068742988
-18_-50,-18,-50,CHEES_-35_4200.csv,-35,4200,3.70104570926651,2.47728218524826,1.49399439890438
-14_-50,-14,-50,CHEES_-35_4200.csv,-35,4200,3.70127719087217,2.46268002284561,1.50294685323973
-8_-52,-8,-52,CHEES_-35_4200.csv,-35,4200,3.70128129385504,2.44657107917955,1.51284437446071
-6_-52,-6,-52,CHEES_-35_4200.csv,-35,4200,3.70146265770942,2.44221758512948,1.51561543092942
-16_-50,-16,-50,CHEES_-35_4200.csv,-35,4200,3.70148738005,2.46943417265005,1.49892125939027
-20_-50,-20,-50,CHEES_-35_4200.csv,-35,4200,3.7015447248439,2.48676472023993,1.48849816579622
-7_-52,-7,-52,CHEES_-35_4200.csv,-35,4200,3.70163923015864,2.44443884546081,1.51431042631006
-20_-52,-20,-52,CHEES_-35_4200.csv,-35,4200,3.70197048542985,2.48804333460572,1.48790434392354
-12_-50,-12,-50,CHEES_-35_4200.csv,-35,4200,3.70208486934905,2.45696370806056,1.50677230485889
-5_-52,-5,-52,CHEES_-35_4200.csv,-35,4200,3.70242444615313,2.4403632845257,1.51716118236581
-10_-50,-10,-50,CHEES_-35_4200.csv,-35,4200,3.70261312919996,2.45188873429757,1.5101065058161
-22_-50,-22,-50,CHEES_-35_4200.csv,-35,4200,3.70305940408362,2.49834157340875,1.48220701424391
-8_-50,-8,-50,CHEES_-35_4200.csv,-35,4200,3.70365243858018,2.44746666353763,1.51325960584355
-7_-50,-7,-50,CHEES_-35_4200.csv,-35,4200,3.70411349735136,2.44540725851073,1.51472254139263
-6_-50,-6,-50,CHEES_-35_4200.csv,-35,4200,3.70428488969847,2.44347436578762,1.51599089459015
-22_-52,-22,-52,CHEES_-35_4200.csv,-35,4200,3.70472604365674,2.50026305759389,1.48173450485724
-10_-54,-10,-54,CHEES_-35_4200.csv,-35,4200,3.70476891973116,2.45169933053798,1.51110247230773
-12_-54,-12,-54,CHEES_-35_4200.csv,-35,4200,3.70508026258082,2.45729297330004,1.50778938565272
-5_-50,-5,-50,CHEES_-35_4200.csv,-35,4200,3.70522126050317,2.44185614552294,1.5173790099374
-7_-54,-7,-54,CHEES_-35_4200.csv,-35,4200,3.70527758960475,2.44436952314723,1.51584183754429
-6_-54,-6,-54,CHEES_-35_4200.csv,-35,4200,3.70561095229109,2.44225670393827,1.51728970436056
-24_-50,-24,-50,CHEES_-35_4200.csv,-35,4200,3.70561314657231,2.5123916626779,1.47493450229913
