folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-10_-35,-10,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-12_-35,-12,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-14_-35,-14,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-16_-35,-16,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-18_-35,-18,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-20_-35,-20,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-22_-35,-22,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-24_-35,-24,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-26_-35,-26,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-28_-35,-28,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-5_-35,-5,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-6_-35,-6,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-7_-35,-7,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-8_-35,-8,-35,CHEES_-35_4200.csv,-35,4200,4.120075546,2.50444023,1.645108355
-30_-36,-30,-36,CHEES_-35_4200.csv,-35,4200,4.03536744,2.519362183,1.60174169
-28_-36,-28,-36,CHEES_-35_4200.csv,-35,4200,4.041994795,2.511508233,1.609389427
-26_-36,-26,-36,CHEES_-35_4200.csv,-35,4200,4.046140962,2.506953411,1.613967354
-24_-36,-24,-36,CHEES_-35_4200.csv,-35,4200,4.0489656,2.503945914,1.617033969
-22_-36,-22,-36,CHEES_-35_4200.csv,-35,4200,4.051451642,2.502100869,1.619219949
-20_-36,-20,-36,CHEES_-35_4200.csv,-35,4200,4.052843083,2.500520912,1.620799515
-18_-36,-18,-36,CHEES_-35_4200.csv,-35,4200,4.054059646,2.499366127,1.622035124
-16_-36,-16,-36,CHEES_-35_4200.csv,-35,4200,4.054571252,2.498304215,1.622929356
-14_-36,-14,-36,CHEES_-35_4200.csv,-35,4200,4.055400922,2.497481672,1.62379607
-12_-36,-12,-36,CHEES_-35_4200.csv,-35,4200,4.056478534,2.496908287,1.624600533
-10_-36,-10,-36,CHEES_-35_4200.csv,-35,4200,4.057136315,2.496501117,1.62512898
-8_-36,-8,-36,CHEES_-35_4200.csv,-35,4200,4.057580633,2.496023209,1.625618151
-6_-36,-6,-36,CHEES_-35_4200.csv,-35,4200,4.057713723,2.495629036,1.625928239
-7_-36,-7,-36,CHEES_-35_4200.csv,-35,4200,4.057756064,2.495805171,1.625830458
-5_-36,-5,-36,CHEES_-35_4200.csv,-35,4200,4.058241443,2.495502887,1.626221899
-30_-37,-30,-37,CHEES_-35_4200.csv,-35,4200,3.970011882,2.531008704,1.568549281
-28_-37,-28,-37,CHEES_-35_4200.csv,-35,4200,3.978103383,2.517394809,1.580246121
-26_-37,-26,-37,CHEES_-35_4200.csv,-35,4200,3.984289448,2.509282632,1.58782012
-24_-37,-24,-37,CHEES_-35_4200.csv,-35,4200,3.987933128,2.503743379,1.592788287
-22_-37,-22,-37,CHEES_-35_4200.csv,-35,4200,3.991031134,2.499813076,1.596531826
-20_-37,-20,-37,CHEES_-35_4200.csv,-35,4200,3.993479051,2.496945503,1.599345699
-18_-37,-18,-37,CHEES_-35_4200.csv,-35,4200,3.99590547,2.494748252,1.601726934
-16_-37,-16,-37,CHEES_-35_4200.csv,-35,4200,3.997501357,2.4930052,1.603486971
-14_-37,-14,-37,CHEES_-35_4200.csv,-35,4200,3.998882621,2.491513554,1.605001352
-12_-37,-12,-37,CHEES_-35_4200.csv,-35,4200,4.000189765,2.490358151,1.606270875
-10_-37,-10,-37,CHEES_-35_4200.csv,-35,4200,4.000734357,2.489195374,1.607239994
-8_-37,-8,-37,CHEES_-35_4200.csv,-35,4200,4.001657953,2.488296419,1.608191822
-7_-37,-7,-37,CHEES_-35_4200.csv,-35,4200,4.001835224,2.487845231,1.608554734
-6_-37,-6,-37,CHEES_-35_4200.csv,-35,4200,4.002237307,2.487592151,1.608880019
-5_-37,-5,-37,CHEES_-35_4200.csv,-35,4200,4.002597434,2.487304463,1.609210892
-30_-38,-30,-38,CHEES_-35_4200.csv,-35,4200,3.917952202,2.540520606,1.542184776
-28_-38,-28,-38,CHEES_-35_4200.csv,-35,4200,3.925163202,2.522008488,1.556363993
-26_-38,-26,-38,CHEES_-35_4200.csv,-35,4200,3.930949221,2.510881404,1.565565468
-24_-38,-24,-38,CHEES_-35_4200.csv,-35,4200,3.936310368,2.503539073,1.572298356
-22_-38,-22,-38,CHEES_-35_4200.csv,-35,4200,3.939833826,2.498095078,1.577135258
-20_-38,-20,-38,CHEES_-35_4200.csv,-35,4200,3.942613502,2.494082217,1.580787303
-18_-38,-18,-38,CHEES_-35_4200.csv,-35,4200,3.945884653,2.49095449,1.584085405
-16_-38,-16,-38,CHEES_-35_4200.csv,-35,4200,3.947171873,2.488208086,1.586351196
-14_-38,-14,-38,CHEES_-35_4200.csv,-35,4200,3.949793463,2.486364695,1.588581704
-12_-38,-12,-38,CHEES_-35_4200.csv,-35,4200,3.950153537,2.484319794,1.590034241
-10_-38,-10,-38,CHEES_-35_4200.csv,-35,4200,3.951702832,2.482967512,1.59152418
-8_-38,-8,-38,CHEES_-35_4200.csv,-35,4200,3.953343029,2.481632683,1.593041169
-7_-38,-7,-38,CHEES_-35_4200.csv,-35,4200,3.954125139,2.481254348,1.593599279
-6_-38,-6,-38,CHEES_-35_4200.csv,-35,4200,3.954696142,2.480813639,1.594112544
-5_-38,-5,-38,CHEES_-35_4200.csv,-35,4200,3.955155105,2.480284969,1.594637372
-30_-40,-30,-40,CHEES_-35_4200.csv,-35,4200,3.841750894,2.554520743,1.503902798
-28_-40,-28,-40,CHEES_-35_4200.csv,-35,4200,3.844720862,2.529829719,1.519754802
-26_-40,-26,-40,CHEES_-35_4200.csv,-35,4200,3.848966152,2.51424419,1.530864094
-24_-40,-24,-40,CHEES_-35_4200.csv,-35,4200,3.853603433,2.503550608,1.539255257
-22_-40,-22,-40,CHEES_-35_4200.csv,-35,4200,3.856673101,2.495370989,1.545530952
-20_-40,-20,-40,CHEES_-35_4200.csv,-35,4200,3.860608449,2.489599554,1.550694546
-18_-40,-18,-40,CHEES_-35_4200.csv,-35,4200,3.863269641,2.484598783,1.554886715
-16_-40,-16,-40,CHEES_-35_4200.csv,-35,4200,3.866940642,2.481088069,1.558566457
-14_-40,-14,-40,CHEES_-35_4200.csv,-35,4200,3.867901359,2.477615698,1.561138542
-12_-40,-12,-40,CHEES_-35_4200.csv,-35,4200,3.869279399,2.474779434,1.563484546
-10_-40,-10,-40,CHEES_-35_4200.csv,-35,4200,3.871461378,2.472570041,1.565764089
-8_-40,-8,-40,CHEES_-35_4200.csv,-35,4200,3.872991686,2.470480463,1.567707879
-7_-40,-7,-40,CHEES_-35_4200.csv,-35,4200,3.873298326,2.46959238,1.568395803
-6_-40,-6,-40,CHEES_-35_4200.csv,-35,4200,3.874221725,2.468938508,1.569185183
-5_-40,-5,-40,CHEES_-35_4200.csv,-35,4200,3.8748136,2.467997325,1.57002342
-26_-42,-26,-42,CHEES_-35_4200.csv,-35,4200,3.791202072,2.518699384,1.505222138
-28_-42,-28,-42,CHEES_-35_4200.csv,-35,4200,3.791461318,2.537894905,1.49393945
-30_-42,-30,-42,CHEES_-35_4200.csv,-35,4200,3.792403444,2.565943974,1.477975935
-24_-42,-24,-42,CHEES_-35_4200.csv,-35,4200,3.793867757,2.505273838,1.514352523
-22_-42,-22,-42,CHEES_-35_4200.csv,-35,4200,3.797286657,2.495476771,1.521667804
-20_-42,-20,-42,CHEES_-35_4200.csv,-35,4200,3.800104733,2.487708305,1.527552376
-18_-42,-18,-42,CHEES_-35_4200.csv,-35,4200,3.802793141,2.481785653,1.532281056
-16_-42,-16,-42,CHEES_-35_4200.csv,-35,4200,3.805149912,2.476591536,1.536446304
-14_-42,-14,-42,CHEES_-35_4200.csv,-35,4200,3.806860332,2.472438788,1.539718739
-12_-42,-12,-42,CHEES_-35_4200.csv,-35,4200,3.809239779,2.468806116,1.54294813
-10_-42,-10,-42,CHEES_-35_4200.csv,-35,4200,3.810642927,2.465877174,1.545349853
-8_-42,-8,-42,CHEES_-35_4200.csv,-35,4200,3.812631233,2.463305358,1.547770446
-7_-42,-7,-42,CHEES_-35_4200.csv,-35,4200,3.81325778,2.462156191,1.548747311
-6_-42,-6,-42,CHEES_-35_4200.csv,-35,4200,3.814079475,2.460964443,1.549831199
-5_-42,-5,-42,CHEES_-35_4200.csv,-35,4200,3.814824685,2.460020594,1.55072876
-26_-44,-26,-44,CHEES_-35_4200.csv,-35,4200,3.751311063,2.522151932,1.487345396
-24_-44,-24,-44,CHEES_-35_4200.csv,-35,4200,3.751970115,2.50708743,1.496545382
-28_-44,-28,-44,CHEES_-35_4200.csv,-35,4200,3.753740903,2.542873128,1.476180963
-22_-44,-22,-44,CHEES_-35_4200.csv,-35,4200,3.754191551,2.495749405,1.504234176
-20_-44,-20,-44,CHEES_-35_4200.csv,-35,4200,3.75613071,2.486860273,1.510390733
-18_-44,-18,-44,CHEES_-35_4200.csv,-35,4200,3.757835954,2.479529107,1.515544199
-16_-44,-16,-44,CHEES_-35_4200.csv,-35,4200,3.759721429,2.473659606,1.519902504
-30_-44,-30,-44,CHEES_-35_4200.csv,-35,4200,3.761002847,2.573784938,1.461273159
-14_-44,-14,-44,CHEES_-35_4200.csv,-35,4200,3.762100478,2.468855242,1.523823841
-12_-44,-12,-44,CHEES_-35_4200.csv,-35,4200,3.763946945,2.464514052,1.527257246
-10_-44,-10,-44,CHEES_-35_4200.csv,-35,4200,3.765822801,2.460952771,1.53022961
-8_-44,-8,-44,CHEES_-35_4200.csv,-35,4200,3.767605384,2.457729987,1.532961474
-7_-44,-7,-44,CHEES_-35_4200.csv,-35,4200,3.767920982,2.456241864,1.534018712
-6_-44,-6,-44,CHEES_-35_4200.csv,-35,4200,3.769126752,2.454896325,1.535350684
-5_-44,-5,-44,CHEES_-35_4200.csv,-35,4200,3.769729971,2.453572027,1.536425232
-22_-46,-22,-46,CHEES_-35_4200.csv,-35,4200,3.725040916,2.495602552,1.492641892
-24_-46,-24,-46,CHEES_-35_4200.csv,-35,4200,3.725495961,2.508303768,1.485265066
-20_-46,-20,-46,CHEES_-35_4200.csv,-35,4200,3.726462446,2.485892032,1.499044366
-26_-46,-26,-46,CHEES_-35_4200.csv,-35,4200,3.726970414,2.524748324,1.476175022
-18_-46,-18,-46,CHEES_-35_4200.csv,-35,4200,3.727539514,2.477540518,1.504532211
-16_-46,-16,-46,CHEES_-35_4200.csv,-35,4200,3.729263395,2.471262808,1.509051721
-14_-46,-14,-46,CHEES_-35_4200.csv,-35,4200,3.730491388,2.465470426,1.513095168
-28_-46,-28,-46,CHEES_-35_4200.csv,-35,4200,3.731500652,2.547032383,1.465038559
-12_-46,-12,-46,CHEES_-35_4200.csv,-35,4200,3.731832399,2.460641475,1.516609566
-10_-46,-10,-46,CHEES_-35_4200.csv,-35,4200,3.733776194,2.456565335,1.519917318
-8_-46,-8,-46,CHEES_-35_4200.csv,-35,4200,3.735251804,2.453047068,1.522698791
-7_-46,-7,-46,CHEES_-35_4200.csv,-35,4200,3.736050893,2.451241743,1.524146243
-6_-46,-6,-46,CHEES_-35_4200.csv,-35,4200,3.736587968,2.449794745,1.525265729
-5_-46,-5,-46,CHEES_-35_4200.csv,-35,4200,3.737384198,2.448344541,1.526494387
-30_-46,-30,-46,CHEES_-35_4200.csv,-35,4200,3.74330199,2.579510348,1.451167658
-20_-48,-20,-48,CHEES_-35_4200.csv,-35,4200,3.708642171,2.485747869,1.491962325
-22_-48,-22,-48,CHEES_-35_4200.csv,-35,4200,3.708855835,2.496463812,1.48564374
-18_-48,-18,-48,CHEES_-35_4200.csv,-35,4200,3.708995996,2.476927236,1.497418229
-16_-48,-16,-48,CHEES_-35_4200.csv,-35,4200,3.710002335,2.469634426,1.502247578
-24_-48,-24,-48,CHEES_-35_4200.csv,-35,4200,3.710269918,2.509922958,1.478240559
-14_-48,-14,-48,CHEES_-35_4200.csv,-35,4200,3.711166729,2.463626778,1.5063835
-10_-48,-10,-48,CHEES_-35_4200.csv,-35,4200,3.713633283,2.453700848,1.513482496
-26_-48,-26,-48,CHEES_-35_4200.csv,-35,4200,3.713851629,2.527490909,1.469382784
-12_-48,-12,-48,CHEES_-35_4200.csv,-35,4200,3.714042468,2.458559739,1.510657809
-8_-48,-8,-48,CHEES_-35_4200.csv,-35,4200,3.714822203,2.449466372,1.516584283
-7_-48,-7,-48,CHEES_-35_4200.csv,-35,4200,3.715460242,2.447689435,1.517945941
-6_-48,-6,-48,CHEES_-35_4200.csv,-35,4200,3.716180567,2.446009642,1.519282877
-5_-48,-5,-48,CHEES_-35_4200.csv,-35,4200,3.716553884,2.444271219,1.520516159
-28_-48,-28,-48,CHEES_-35_4200.csv,-35,4200,3.721785289,2.550899688,1.459008877
-30_-48,-30,-48,CHEES_-35_4200.csv,-35,4200,3.737251778,2.584267572,1.446155119
-18_-50,-18,-50,CHEES_-35_4200.csv,-35,4200,3.701045709,2.477282185,1.493994399
-14_-50,-14,-50,CHEES_-35_4200.csv,-35,4200,3.701277191,2.462680023,1.502946853
-16_-50,-16,-50,CHEES_-35_4200.csv,-35,4200,3.70148738,2.469434173,1.498921259
-20_-50,-20,-50,CHEES_-35_4200.csv,-35,4200,3.701544725,2.48676472,1.488498166
-12_-50,-12,-50,CHEES_-35_4200.csv,-35,4200,3.702084869,2.456963708,1.506772305
-10_-50,-10,-50,CHEES_-35_4200.csv,-35,4200,3.702613129,2.451888734,1.510106506
-22_-50,-22,-50,CHEES_-35_4200.csv,-35,4200,3.703059404,2.498341573,1.482207014
-8_-50,-8,-50,CHEES_-35_4200.csv,-35,4200,3.703652439,2.447466664,1.513259606
-7_-50,-7,-50,CHEES_-35_4200.csv,-35,4200,3.704113497,2.445407259,1.514722541
-6_-50,-6,-50,CHEES_-35_4200.csv,-35,4200,3.70428489,2.443474366,1.515990895
