folder,param1,param2,csv_name,c,d,Best_Delta,P_at_BestDelta,Mu_at_BestDelta
0.8_-22_-60,-22,-60,CHEES_-35_6000.csv,-35,6000,2.34893920028779,2.48849576459754,1.2560090787877
0.8_-16_-60,-16,-60,CHEES_-35_6000.csv,-35,6000,2.34994605894574,2.48977541205973,1.25846417802584
0.8_-14_-60,-14,-60,CHEES_-35_6000.csv,-35,6000,2.3503393406595,2.49026515991814,1.2593323733278
0.8_-20_-60,-20,-60,CHEES_-35_6000.csv,-35,6000,2.35295031673275,2.49231514330312,1.25428343913339
0.8_-10_-60,-10,-60,CHEES_-35_6000.csv,-35,6000,2.35357551377104,2.49383847538114,1.26236665449093
0.8_-6_-60,-6,-60,CHEES_-35_6000.csv,-35,6000,2.35487010096206,2.49549692648307,1.26564142968915
0.8_-8_-60,-8,-60,CHEES_-35_6000.csv,-35,6000,2.35564712864081,2.49597923940511,1.26298899687872
0.8_-12_-60,-12,-60,CHEES_-35_6000.csv,-35,6000,2.35624168373438,2.49609709800675,1.25869872845133
0.8_-26_-60,-26,-60,CHEES_-35_6000.csv,-35,6000,2.35639748961363,2.49599330563127,1.25636234415877
0.8_-28_-60,-28,-60,CHEES_-35_6000.csv,-35,6000,2.36089539226605,2.50099049094202,1.26085588808375
0.8_-18_-60,-18,-60,CHEES_-35_6000.csv,-35,6000,2.3644896856168,2.50356359544684,1.25166518847034
0.8_-20_-58,-20,-58,CHEES_-35_6000.csv,-35,6000,2.36669324435137,2.50460135058855,1.24117295613462
0.8_-22_-58,-22,-58,CHEES_-35_6000.csv,-35,6000,2.36728970699916,2.50509119231849,1.24021336787391
0.8_-30_-60,-30,-60,CHEES_-35_6000.csv,-35,6000,2.3681357133848,2.50914491235697,1.26908279074957
0.8_-26_-58,-26,-58,CHEES_-35_6000.csv,-35,6000,2.36997782679463,2.5079184805292,1.24146588361112
0.8_-24_-58,-24,-58,CHEES_-35_6000.csv,-35,6000,2.37060685636944,2.50829525333225,1.23919557266525
0.8_-10_-58,-10,-58,CHEES_-35_6000.csv,-35,6000,2.3717600222514,2.5104751359172,1.24843602299222
0.8_-16_-58,-16,-58,CHEES_-35_6000.csv,-35,6000,2.37227273774154,2.51027623456098,1.24203147137496
0.8_-18_-58,-18,-58,CHEES_-35_6000.csv,-35,6000,2.37429818740501,2.51203820654349,1.23966017224638
0.8_-7_-60,-7,-60,CHEES_-35_5900.csv,-35,5900,2.37500798828831,2.51439141689968,1.25445085750228
0.8_-6_-58,-6,-58,CHEES_-35_6000.csv,-35,6000,2.37536856204657,2.51441021011667,1.25137483263089
0.8_-5_-58,-5,-58,CHEES_-35_6000.csv,-35,6000,2.37580386600617,2.51491675170553,1.25201597129426
0.8_-14_-58,-14,-58,CHEES_-35_6000.csv,-35,6000,2.37591720101509,2.51396903504397,1.24246650625996
0.8_-12_-58,-12,-58,CHEES_-35_6000.csv,-35,6000,2.37594584666002,2.51423403827116,1.24459372450028
0.8_-28_-58,-28,-58,CHEES_-35_6000.csv,-35,6000,2.37844068298322,2.51662279726115,1.24363902850133
0.8_-7_-58,-7,-58,CHEES_-35_6000.csv,-35,6000,2.38020279060939,2.51885259078765,1.24784820160439
0.8_-5_-60,-5,-60,CHEES_-35_5900.csv,-35,5900,2.3814556870236,2.52080285166164,1.25412448174237
0.8_-30_-58,-30,-58,CHEES_-35_6000.csv,-35,6000,2.38326100527871,2.52235138123178,1.25181338357764
0.8_-24_-60,-24,-60,CHEES_-35_5900.csv,-35,5900,2.38393972358949,2.52243294048958,1.24643895210084
0.8_-24_-56,-24,-56,CHEES_-35_6000.csv,-35,6000,2.39237493414374,2.52834911284915,1.22376760834868
0.8_-22_-56,-22,-56,CHEES_-35_6000.csv,-35,6000,2.39254564871464,2.52852050683462,1.22377372307979
0.8_-12_-56,-12,-56,CHEES_-35_6000.csv,-35,6000,2.39264864908889,2.5297592729396,1.23399561465644
0.8_-10_-56,-10,-56,CHEES_-35_6000.csv,-35,6000,2.39361418407929,2.53095899530398,1.23610330102225
0.8_-20_-56,-20,-56,CHEES_-35_6000.csv,-35,6000,2.39445779905561,2.53050562027787,1.22443039100034
0.8_-26_-56,-26,-56,CHEES_-35_6000.csv,-35,6000,2.39508127273875,2.53105550916891,1.22376812787139
0.8_-8_-56,-8,-56,CHEES_-35_6000.csv,-35,6000,2.39599702769204,2.53342348743125,1.23683813765287
0.8_-8_-58,-8,-58,CHEES_-35_5900.csv,-35,5900,2.39635922876659,2.53401387315614,1.23889179950593
0.8_-18_-56,-18,-56,CHEES_-35_6000.csv,-35,6000,2.39752483675908,2.53365480474415,1.22516971186565
0.8_-14_-56,-14,-56,CHEES_-35_6000.csv,-35,6000,2.39754871604003,2.53411113002073,1.22906172582633
0.8_-28_-56,-28,-56,CHEES_-35_6000.csv,-35,6000,2.39767034122672,2.53396390690414,1.22664209109682
0.8_-6_-56,-6,-56,CHEES_-35_6000.csv,-35,6000,2.39798350572796,2.53561224528583,1.23865865602083
0.8_-7_-56,-7,-56,CHEES_-35_6000.csv,-35,6000,2.4040771145995,2.54119902827736,1.23409722310076
0.8_-5_-56,-5,-56,CHEES_-35_6000.csv,-35,6000,2.40816717529576,2.54536779113797,1.23480554257987
0.8_-22_-54,-22,-54,CHEES_-35_6000.csv,-35,6000,2.40924866754689,2.54407494452133,1.21343649276996
0.8_-26_-54,-26,-54,CHEES_-35_6000.csv,-35,6000,2.41084819980043,2.54549385126486,1.21181086317993
0.8_-20_-54,-20,-54,CHEES_-35_6000.csv,-35,6000,2.41186785118709,2.54679256799483,1.21432245126963
0.8_-18_-54,-18,-54,CHEES_-35_6000.csv,-35,6000,2.41274284193605,2.54787201774522,1.21616258228254
0.8_-16_-54,-16,-54,CHEES_-35_6000.csv,-35,6000,2.41394090766885,2.5492701306218,1.21796300657658
0.8_-14_-54,-14,-54,CHEES_-35_6000.csv,-35,6000,2.41598878677873,2.55154015228315,1.21996228953983
0.8_-30_-56,-30,-56,CHEES_-35_6000.csv,-35,6000,2.41848270511538,2.55511380126066,1.22967986530755
0.8_-12_-54,-12,-54,CHEES_-35_6000.csv,-35,6000,2.4214733227384,2.556989357218,1.21964431031645
0.8_-7_-54,-7,-54,CHEES_-35_6000.csv,-35,6000,2.42153320629591,2.55780716310237,1.22646561125814
0.8_-30_-54,-30,-54,CHEES_-35_6000.csv,-35,6000,2.42160467438258,2.55697390014912,1.2183230318989
0.8_-24_-54,-24,-54,CHEES_-35_6000.csv,-35,6000,2.42708520532041,2.56101408177276,1.20535988807119
0.8_-16_-56,-16,-56,CHEES_-35_5900.csv,-35,5900,2.42728333499978,2.56237262559538,1.21580361536033
