folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
0.8_-30_-32,-30,-32,CHEES_-31_5600.csv,-31,5600,1.04804706782455,4.24207284719008,4.12562317298735
0.8_-30_-34,-30,-34,CHEES_-32_5600.csv,-32,5600,1.05304943984623,3.85154576131798,3.73454026800173
0.8_-30_-35,-30,-35,CHEES_-33_5500.csv,-33,5500,1.05347211884488,3.72856954983234,3.61151709218291
0.8_-30_-36,-30,-36,CHEES_-33_5400.csv,-33,5400,1.05775865630936,3.73587909495233,3.6183503553624
0.8_-30_-37,-30,-37,CHEES_-34_5400.csv,-34,5400,1.05976252794453,3.55211594004031,3.43436454804648
0.8_-28_-34,-28,-34,CHEES_-32_5500.csv,-32,5500,1.06058700242194,3.96807802462489,3.85023502435579
0.8_-28_-35,-28,-35,CHEES_-33_5400.csv,-33,5400,1.06097560586301,3.80290118542523,3.68501500699601
0.8_-28_-36,-28,-36,CHEES_-34_5400.csv,-34,5400,1.06281927940221,3.58577207481494,3.46768104377025
0.8_-30_-38,-30,-38,CHEES_-35_5300.csv,-35,5300,1.06340813672962,3.38737578716106,3.26921932752443
0.8_-28_-37,-28,-37,CHEES_-34_5400.csv,-34,5400,1.06398895099019,3.52547552806893,3.40725453351446
0.8_-28_-32,-28,-32,CHEES_-31_5600.csv,-31,5600,1.06551245609747,4.26661146935013,4.14822119645041
0.8_-26_-35,-26,-35,CHEES_-33_5400.csv,-33,5400,1.0655523450867,3.80930486695477,3.69091016194514
0.8_-26_-36,-26,-36,CHEES_-34_5400.csv,-34,5400,1.06680511977765,3.607465464104,3.48893156190648
0.8_-26_-34,-26,-34,CHEES_-33_5400.csv,-33,5400,1.06691728175373,3.93934492451522,3.82079855987592
0.8_-28_-38,-28,-38,CHEES_-35_5300.csv,-35,5300,1.06767422964697,3.36955181095529,3.25092134099452
0.8_-24_-35,-24,-35,CHEES_-34_5300.csv,-34,5300,1.06874658777727,3.76143971153239,3.64269009066825
0.8_-26_-37,-26,-37,CHEES_-34_5400.csv,-34,5400,1.06887259068064,3.50145725331059,3.38269363212385
0.8_-24_-34,-24,-34,CHEES_-33_5400.csv,-33,5400,1.06909236737117,3.94275737051003,3.82396932969101
0.8_-24_-36,-24,-36,CHEES_-34_5400.csv,-34,5400,1.06980379599392,3.59962727670803,3.48076018826426
0.8_-22_-35,-22,-35,CHEES_-34_5300.csv,-34,5300,1.0700507489613,3.76883635909077,3.6499418314284
0.8_-10_-34,-10,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-12_-34,-12,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-14_-34,-14,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-16_-34,-16,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-18_-34,-18,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-20_-34,-20,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-22_-34,-22,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-5_-34,-5,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-6_-34,-6,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-7_-34,-7,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-8_-34,-8,-34,CHEES_-34_5300.csv,-34,5300,1.07018253483436,3.83534658312956,3.71643741259241
0.8_-20_-35,-20,-35,CHEES_-34_5300.csv,-34,5300,1.07077061980165,3.73004991904013,3.61107540572884
0.8_-26_-38,-26,-38,CHEES_-34_5400.csv,-34,5400,1.0713455075722,3.4502938758117,3.33125548608146
0.8_-22_-36,-22,-36,CHEES_-34_5400.csv,-34,5400,1.07163122333503,3.61237340432083,3.49330326839471
0.8_-18_-35,-18,-35,CHEES_-34_5300.csv,-34,5300,1.07201948640326,3.72805793873763,3.6089446624706
0.8_-24_-37,-24,-37,CHEES_-35_5300.csv,-35,5300,1.07211140915333,3.43697036651275,3.31784687660682
0.8_-16_-35,-16,-35,CHEES_-34_5300.csv,-34,5300,1.07230145147217,3.73256676077857,3.61342215505944
0.8_-10_-35,-10,-35,CHEES_-35_5200.csv,-35,5200,1.07234570249378,3.69434218365364,3.57519266115433
0.8_-12_-35,-12,-35,CHEES_-35_5200.csv,-35,5200,1.07234570249378,3.69434218365364,3.57519266115433
0.8_-14_-35,-14,-35,CHEES_-35_5200.csv,-35,5200,1.07234570249378,3.69434218365364,3.57519266115433
0.8_-5_-35,-5,-35,CHEES_-35_5200.csv,-35,5200,1.07234570249378,3.69434218365364,3.57519266115433
0.8_-6_-35,-6,-35,CHEES_-35_5200.csv,-35,5200,1.07234570249378,3.69434218365364,3.57519266115433
