folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.6_-6_-48,-6,-48,CHEES_-25_5400.csv,-25,5400,5.27060905278776,5.20614288363419,0.0644661691535637
0.6_-5_-46,-5,-46,CHEES_-24_5300.csv,-24,5300,5.27071678527042,5.20629989381433,0.0644168914560909
0.6_-6_-60,-6,-60,CHEES_-31_5300.csv,-31,5300,5.27072090567805,5.20629146971876,0.0644294359592924
0.6_-20_-48,-20,-48,CHEES_-33_5300.csv,-33,5300,5.27072236398658,5.20631592952613,0.0644064344604501
0.6_-10_-40,-10,-40,CHEES_-24_5300.csv,-24,5300,5.27072524307462,5.20634009727445,0.0643851458001783
0.6_-10_-60,-10,-60,CHEES_-33_5300.csv,-33,5300,5.27072782737938,5.20625919974315,0.0644686276362341
0.6_-5_-48,-5,-48,CHEES_-25_5300.csv,-25,5300,5.27072888809606,5.20632289126945,0.0644059968266177
0.6_-10_-50,-10,-50,CHEES_-28_5400.csv,-28,5400,5.27073246819445,5.20614860287338,0.0645838653210747
0.6_-7_-50,-7,-50,CHEES_-27_5300.csv,-27,5300,5.2707333773606,5.20632482241231,0.0644085549482862
0.6_-5_-50,-5,-50,CHEES_-26_5300.csv,-26,5300,5.27073588691719,5.20634479204584,0.0643910948713533
0.6_-14_-42,-14,-42,CHEES_-27_5300.csv,-27,5300,5.27074362372781,5.206321998668,0.0644216250598128
0.6_-7_-52,-7,-52,CHEES_-28_5300.csv,-28,5300,5.27074780467831,5.20634977097971,0.0643980336985964
0.6_-10_-38,-10,-38,CHEES_-23_5300.csv,-23,5300,5.27074911507279,5.20631637031773,0.0644327447550618
0.6_-16_-46,-16,-46,CHEES_-30_5300.csv,-30,5300,5.2707505493356,5.20635912925002,0.0643914200855882
0.6_-7_-48,-7,-48,CHEES_-26_5300.csv,-26,5300,5.27075089384944,5.20631072218975,0.064440171659697
0.6_-7_-46,-7,-46,CHEES_-25_5300.csv,-25,5300,5.27075228491599,5.20628488312718,0.0644674017888122
0.6_-18_-46,-18,-46,CHEES_-31_5300.csv,-31,5300,5.27075453534273,5.2063305299591,0.0644240053836282
0.6_-22_-48,-22,-48,CHEES_-34_5300.csv,-34,5300,5.27075552580732,5.20628785959003,0.0644676662172888
0.6_-7_-44,-7,-44,CHEES_-24_5300.csv,-24,5300,5.27075602233332,5.20626104532735,0.0644949770059678
0.6_-20_-52,-20,-52,CHEES_-35_5300.csv,-35,5300,5.27076079307151,5.20638165423083,0.0643791388406806
0.6_-18_-50,-18,-50,CHEES_-33_5300.csv,-33,5300,5.27076179928183,5.20638444499024,0.0643773542915921
0.6_-8_-40,-8,-40,CHEES_-23_5300.csv,-23,5300,5.27076579206023,5.20638396151793,0.0643818305423051
0.6_-6_-56,-6,-56,CHEES_-29_5300.csv,-29,5300,5.2707659502073,5.20626949081535,0.064496459391952
0.6_-7_-58,-7,-58,CHEES_-31_5300.csv,-31,5300,5.27076730534588,5.20639198358087,0.0643753217650083
0.6_-14_-46,-14,-46,CHEES_-29_5300.csv,-29,5300,5.27076816472575,5.20638841764154,0.0643797470842054
0.6_-16_-42,-16,-42,CHEES_-28_5300.csv,-28,5300,5.27076984901543,5.20629603728642,0.0644738117290031
0.6_-8_-58,-8,-58,CHEES_-31_5300.csv,-31,5300,5.27077203398863,5.20626250575513,0.0645095282335039
0.6_-18_-44,-18,-44,CHEES_-30_5300.csv,-30,5300,5.27077667325544,5.2062963721087,0.0644803011467453
0.6_-8_-42,-8,-42,CHEES_-24_5300.csv,-24,5300,5.27077729645148,5.20640204208659,0.064375254364893
0.6_-5_-60,-5,-60,CHEES_-31_5400.csv,-31,5400,5.27077973887365,5.20633840368616,0.0644413351874867
0.6_-5_-56,-5,-56,CHEES_-29_5300.csv,-29,5300,5.27078154506764,5.20640561599932,0.0643759290683276
0.6_-8_-56,-8,-56,CHEES_-30_5300.csv,-30,5300,5.27078286555838,5.20624887187623,0.0645339936821507
0.6_-18_-42,-18,-42,CHEES_-29_5300.csv,-29,5300,5.27078981488292,5.20626024147541,0.0645295734075021
0.6_-8_-54,-8,-54,CHEES_-29_5300.csv,-29,5300,5.27079028543974,5.20623009009924,0.0645601953405073
0.6_-22_-35,-22,-35,CHEES_-28_5300.csv,-28,5300,5.27079150203288,5.20630407459218,0.0644874274406995
0.6_-7_-42,-7,-42,CHEES_-23_5300.csv,-23,5300,5.27079386603682,5.20623756304604,0.0645563029907873
0.6_-14_-38,-14,-38,CHEES_-25_5300.csv,-25,5300,5.27079436563286,5.2062563190436,0.0645380465892628
0.6_-12_-46,-12,-46,CHEES_-28_5300.csv,-28,5300,5.27079764828843,5.20642036135281,0.0643772869356201
0.6_-20_-44,-20,-44,CHEES_-31_5300.csv,-31,5300,5.27079955837933,5.20625586340434,0.0645436949749886
0.6_-16_-50,-16,-50,CHEES_-32_5300.csv,-32,5300,5.27080189913715,5.20642562528463,0.0643762738525201
0.6_-7_-60,-7,-60,CHEES_-32_5300.csv,-32,5300,5.27080440255105,5.20642912955038,0.0643752730006638
0.6_-20_-37,-20,-37,CHEES_-28_5300.csv,-28,5300,5.27080547561919,5.20642788445408,0.0643775911651031
0.6_-24_-48,-24,-48,CHEES_-35_5300.csv,-35,5300,5.27080646175571,5.2062573861301,0.0645490756256117
0.6_-10_-46,-10,-46,CHEES_-27_5300.csv,-27,5300,5.27080681559589,5.20642924077948,0.064377574816413
0.6_-12_-60,-12,-60,CHEES_-34_5300.csv,-34,5300,5.27080721588231,5.20625349627608,0.0645537196062275
0.6_-6_-52,-6,-52,CHEES_-27_5300.csv,-27,5300,5.27081254007857,5.2062316054583,0.0645809346202707
0.6_-16_-40,-16,-40,CHEES_-27_5300.csv,-27,5300,5.27082108103144,5.20626255014561,0.0645585308858324
0.6_-18_-54,-18,-54,CHEES_-35_5300.csv,-35,5300,5.2708229564938,5.20644637259563,0.0643765838981735
0.6_-24_-37,-24,-37,CHEES_-30_5400.csv,-30,5400,5.27083391504385,5.20640271574471,0.0644311992991427
0.6_-8_-46,-8,-46,CHEES_-26_5300.csv,-26,5300,5.27083982890736,5.20645277008196,0.0643870588254074
0.6_-10_-48,-10,-48,CHEES_-28_5300.csv,-28,5300,5.27084786745769,5.20646584600118,0.0643820214565092
0.6_-16_-35,-16,-35,CHEES_-25_5300.csv,-25,5300,5.27085650664285,5.20647753161122,0.0643789750316236
0.6_-7_-54,-7,-54,CHEES_-29_5400.csv,-29,5400,5.27086703843845,5.20649162226835,0.0643754161700938
0.6_-26_-37,-26,-37,CHEES_-31_5300.csv,-31,5300,5.2708713150796,5.20622572521419,0.0646455898654017
0.6_-18_-37,-18,-37,CHEES_-27_5300.csv,-27,5300,5.2708743927382,5.20649817074887,0.0643762219893387
0.6_-14_-36,-14,-36,CHEES_-24_5300.csv,-24,5300,5.27087442767494,5.20622056031624,0.0646538673587002
0.6_-24_-35,-24,-35,CHEES_-29_5300.csv,-29,5300,5.27087521970225,5.20622682269849,0.0646483970037588
0.6_-12_-52,-12,-52,CHEES_-31_5300.csv,-31,5300,5.27088073750866,5.2064927099722,0.0643880275364637
0.6_-12_-34,-12,-34,CHEES_-22_5300.csv,-22,5300,5.27088192462825,5.20621994732418,0.0646619773040652
0.6_-16_-37,-16,-37,CHEES_-26_5300.csv,-26,5300,5.27091157589968,5.2065126350156,0.0643989408840825
0.6_-12_-54,-12,-54,CHEES_-32_5300.csv,-32,5300,5.27091181832104,5.20651281179238,0.0643990065286589
0.6_-20_-42,-20,-42,CHEES_-30_5300.csv,-30,5300,5.27091567420295,5.20622865464431,0.0646870195586416
0.6_-12_-56,-12,-56,CHEES_-33_5300.csv,-33,5300,5.27091954395453,5.2065012486029,0.0644182953516338
0.6_-8_-50,-8,-50,CHEES_-27_5300.csv,-27,5300,5.27092132277243,5.20620197535113,0.0647193474212977
0.6_-10_-52,-10,-52,CHEES_-29_5300.csv,-29,5300,5.27092228151354,5.20620125473421,0.0647210267793304
0.6_-10_-54,-10,-54,CHEES_-31_5300.csv,-31,5300,5.27093634432426,5.20651770403229,0.0644186402919713
0.6_-8_-52,-8,-52,CHEES_-29_5300.csv,-29,5300,5.27093672536976,5.20651766910241,0.0644190562673577
0.6_-14_-37,-14,-37,CHEES_-25_5300.csv,-25,5300,5.27096916491104,5.20654969999637,0.0644194649146662
0.6_-8_-48,-8,-48,CHEES_-26_5300.csv,-26,5300,5.27097132725897,5.20617786164513,0.0647934656138412
0.6_-10_-56,-10,-56,CHEES_-32_5300.csv,-32,5300,5.27097298824067,5.20653923941181,0.0644337488288603
0.6_-26_-46,-26,-46,CHEES_-35_5300.csv,-35,5300,5.2709984686784,5.20618518431442,0.0648132843639812
0.6_-22_-42,-22,-42,CHEES_-31_5300.csv,-31,5300,5.27100907580472,5.20618677939674,0.0648222964079885
0.6_-14_-54,-14,-54,CHEES_-33_5300.csv,-33,5300,5.27101556182732,5.2066382239697,0.0643773378576162
0.6_-16_-56,-16,-56,CHEES_-34_5300.csv,-34,5300,5.27102215036591,5.20618526623085,0.0648368841350614
0.6_-12_-37,-12,-37,CHEES_-24_5300.csv,-24,5300,5.2710240800541,5.20655609638666,0.0644679836674325
0.6_-10_-35,-10,-35,CHEES_-22_5300.csv,-22,5300,5.27102832769272,5.20658535583281,0.0644429718599067
0.6_-6_-58,-6,-58,CHEES_-31_5300.csv,-31,5300,5.27104587548432,5.20659182791427,0.0644540475700439
0.6_-7_-56,-7,-56,CHEES_-29_5300.csv,-29,5300,5.2710509286645,5.20617565413325,0.0648752745312476
0.6_-8_-60,-8,-60,CHEES_-33_5300.csv,-33,5300,5.27105499633408,5.20657503778265,0.064479958551436
0.6_-24_-44,-24,-44,CHEES_-33_5300.csv,-33,5300,5.27107886282455,5.20619153163673,0.0648873311878213
0.6_-6_-54,-6,-54,CHEES_-28_5300.csv,-28,5300,5.2710917862128,5.2064099816148,0.0646818045979954
0.6_-18_-56,-18,-56,CHEES_-35_5300.csv,-35,5300,5.2711124778024,5.20616850030579,0.0649439774966084
0.6_-6_-44,-6,-44,CHEES_-23_5300.csv,-23,5300,5.27112417452796,5.20616645423151,0.0649577202964495
0.6_-28_-44,-28,-44,CHEES_-35_5400.csv,-35,5400,5.27119990062668,5.20618372125504,0.065016179371637
0.6_-20_-38,-20,-38,CHEES_-28_5300.csv,-28,5300,5.2712190305692,5.20615764917634,0.0650613813928542
0.6_-10_-58,-10,-58,CHEES_-32_5300.csv,-32,5300,5.27122069842596,5.20646297661069,0.06475772181527
0.6_-14_-56,-14,-56,CHEES_-33_5300.csv,-33,5300,5.27122394892055,5.20632041968291,0.0649035292376419
0.6_-6_-42,-6,-42,CHEES_-22_5300.csv,-22,5300,5.27122884879599,5.20615357730556,0.0650752714904307
0.6_-7_-40,-7,-40,CHEES_-23_5300.csv,-23,5300,5.271229201957,5.20668375387367,0.0645454480833297
0.6_-24_-46,-24,-46,CHEES_-34_5300.csv,-34,5300,5.27123301177107,5.20638025280454,0.0648527589665333
0.6_-26_-44,-26,-44,CHEES_-34_5300.csv,-34,5300,5.27124577230224,5.20615935657635,0.0650864157258836
0.6_-22_-46,-22,-46,CHEES_-33_5400.csv,-33,5400,5.27127624510907,5.20676834143336,0.0645079036757067
0.6_-16_-38,-16,-38,CHEES_-26_5300.csv,-26,5300,5.27128271142226,5.20641767776343,0.0648650336588259
0.6_-16_-52,-16,-52,CHEES_-32_5300.csv,-32,5300,5.27128359352302,5.20615821813182,0.0651253753912013
0.6_-5_-40,-5,-40,CHEES_-22_5300.csv,-22,5300,5.27128851899281,5.20666770779557,0.0646208111972439
0.6_-22_-40,-22,-40,CHEES_-30_5300.csv,-30,5300,5.27131675162875,5.20616118883751,0.0651555627912361
0.6_-5_-58,-5,-58,CHEES_-30_5400.csv,-30,5400,5.27132073164785,5.20694371706177,0.0643770145860769
