folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.8_-12_-58,-12,-58,CHEES_-35_5400.csv,-35,5400,5.27063536205331,5.20617115367251,0.0644642083807942
0.8_-7_-54,-7,-54,CHEES_-30_5400.csv,-30,5400,5.27083118126053,5.20637793075252,0.0644532505080136
0.8_-5_-54,-5,-54,CHEES_-29_5300.csv,-29,5300,5.27087558670219,5.20636515848825,0.0645104282139424
0.8_-7_-56,-7,-56,CHEES_-31_5300.csv,-31,5300,5.27087830110173,5.20635951944417,0.0645187816575628
0.8_-7_-58,-7,-58,CHEES_-32_5300.csv,-32,5300,5.27088156969104,5.20636370938083,0.0645178603102102
0.8_-6_-40,-6,-40,CHEES_-23_5300.csv,-23,5300,5.27088791465179,5.20650788028343,0.0643800343683611
0.8_-5_-58,-5,-58,CHEES_-31_5300.csv,-31,5300,5.27089249846559,5.20637428196174,0.0645182165038493
0.8_-18_-50,-18,-50,CHEES_-34_5300.csv,-34,5300,5.27089988795798,5.20652120369888,0.0643786842590993
0.8_-10_-44,-10,-44,CHEES_-27_5300.csv,-27,5300,5.27090038266438,5.20651893083476,0.0643814518296137
0.8_-12_-36,-12,-36,CHEES_-24_5300.csv,-24,5300,5.27090645779857,5.20652490893334,0.0643815488652277
0.8_-10_-60,-10,-60,CHEES_-35_5300.csv,-35,5300,5.27090800573393,5.20651975032373,0.0643882554102001
0.8_-10_-34,-10,-34,CHEES_-22_5300.csv,-22,5300,5.27091147303354,5.20652853735605,0.0643829356774923
0.8_-14_-56,-14,-56,CHEES_-35_5300.csv,-35,5300,5.27091178444742,5.20652539903698,0.0643863854104384
0.8_-12_-54,-12,-54,CHEES_-33_5300.csv,-33,5300,5.27091275002963,5.20653009925659,0.0643826507730301
0.8_-7_-50,-7,-50,CHEES_-28_5300.csv,-28,5300,5.27091489089545,5.2063466450078,0.0645682458876492
0.8_-14_-50,-14,-50,CHEES_-32_5300.csv,-32,5300,5.27091581905373,5.20653384416087,0.0643819748928578
0.8_-8_-44,-8,-44,CHEES_-26_5300.csv,-26,5300,5.27091633283861,5.2065316156575,0.0643847171811152
0.8_-10_-54,-10,-54,CHEES_-32_5300.csv,-32,5300,5.27091722793263,5.20653425229913,0.0643829756335047
0.8_-6_-58,-6,-58,CHEES_-32_5300.csv,-32,5300,5.27091872922697,5.20652903202998,0.0643896971969901
