folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
0.8_-22_-60,-22,-60,CHEES_-35_6000.csv,-35,6000,2.48849576459754,2.34893920028779,1.2560090787877
0.8_-16_-60,-16,-60,CHEES_-35_6000.csv,-35,6000,2.48977541205973,2.34994605894574,1.25846417802584
0.8_-14_-60,-14,-60,CHEES_-35_6000.csv,-35,6000,2.49026515991814,2.3503393406595,1.2593323733278
0.8_-20_-60,-20,-60,CHEES_-35_6000.csv,-35,6000,2.49231514330312,2.35295031673275,1.25428343913339
0.8_-10_-60,-10,-60,CHEES_-35_6000.csv,-35,6000,2.49383847538114,2.35357551377104,1.26236665449093
0.8_-6_-60,-6,-60,CHEES_-35_6000.csv,-35,6000,2.49549692648307,2.35487010096206,1.26564142968915
0.8_-8_-60,-8,-60,CHEES_-35_6000.csv,-35,6000,2.49597923940511,2.35564712864081,1.26298899687872
0.8_-26_-60,-26,-60,CHEES_-35_6000.csv,-35,6000,2.49599330563127,2.35639748961363,1.25636234415877
0.8_-12_-60,-12,-60,CHEES_-35_6000.csv,-35,6000,2.49609709800675,2.35624168373438,1.25869872845133
0.8_-28_-60,-28,-60,CHEES_-35_6000.csv,-35,6000,2.50099049094202,2.36089539226605,1.26085588808375
0.8_-18_-60,-18,-60,CHEES_-35_6000.csv,-35,6000,2.50356359544684,2.3644896856168,1.25166518847034
0.8_-20_-58,-20,-58,CHEES_-35_6000.csv,-35,6000,2.50460135058855,2.36669324435137,1.24117295613462
0.8_-22_-58,-22,-58,CHEES_-35_6000.csv,-35,6000,2.50509119231849,2.36728970699916,1.24021336787391
0.8_-26_-58,-26,-58,CHEES_-35_6000.csv,-35,6000,2.5079184805292,2.36997782679463,1.24146588361112
0.8_-24_-58,-24,-58,CHEES_-35_6000.csv,-35,6000,2.50829525333225,2.37060685636944,1.23919557266525
0.8_-30_-60,-30,-60,CHEES_-35_6000.csv,-35,6000,2.50914491235697,2.3681357133848,1.26908279074957
0.8_-16_-58,-16,-58,CHEES_-35_6000.csv,-35,6000,2.51027623456098,2.37227273774154,1.24203147137496
0.8_-10_-58,-10,-58,CHEES_-35_6000.csv,-35,6000,2.5104751359172,2.3717600222514,1.24843602299222
0.8_-18_-58,-18,-58,CHEES_-35_6000.csv,-35,6000,2.51203820654349,2.37429818740501,1.23966017224638
0.8_-14_-58,-14,-58,CHEES_-35_6000.csv,-35,6000,2.51396903504397,2.37591720101509,1.24246650625996
0.8_-12_-58,-12,-58,CHEES_-35_6000.csv,-35,6000,2.51423403827116,2.37594584666002,1.24459372450028
0.8_-7_-60,-7,-60,CHEES_-35_5900.csv,-35,5900,2.51439141689968,2.37500798828831,1.25445085750228
0.8_-6_-58,-6,-58,CHEES_-35_6000.csv,-35,6000,2.51441021011667,2.37536856204657,1.25137483263089
0.8_-5_-58,-5,-58,CHEES_-35_6000.csv,-35,6000,2.51491675170553,2.37580386600617,1.25201597129426
0.8_-28_-58,-28,-58,CHEES_-35_6000.csv,-35,6000,2.51662279726115,2.37844068298322,1.24363902850133
