folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
0.8_-10_-35,-10,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-12_-35,-12,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-14_-35,-14,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-16_-35,-16,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-18_-35,-18,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-20_-35,-20,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-22_-35,-22,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-24_-35,-24,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-26_-35,-26,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-28_-35,-28,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-30_-35,-30,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-5_-35,-5,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-6_-35,-6,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-7_-35,-7,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-8_-35,-8,-35,CHEES_-35_6000.csv,-35,6000,2.970533961,2.831199658,1.25400873
0.8_-24_-36,-24,-36,CHEES_-35_6000.csv,-35,6000,2.930180827,2.792943693,1.235134209
0.8_-28_-36,-28,-36,CHEES_-35_6000.csv,-35,6000,2.932533273,2.796552697,1.223825181
0.8_-18_-36,-18,-36,CHEES_-35_6000.csv,-35,6000,2.934416679,2.796771622,1.23880552
0.8_-12_-36,-12,-36,CHEES_-35_6000.csv,-35,6000,2.937280997,2.79942149,1.240735567
0.8_-6_-36,-6,-36,CHEES_-35_6000.csv,-35,6000,2.938016925,2.800035185,1.241835661
0.8_-8_-36,-8,-36,CHEES_-35_6000.csv,-35,6000,2.93887223,2.800947822,1.241319668
0.8_-22_-36,-22,-36,CHEES_-35_6000.csv,-35,6000,2.943255322,2.806709145,1.228915594
0.8_-26_-36,-26,-36,CHEES_-35_6000.csv,-35,6000,2.94405476,2.808262004,1.2221348
0.8_-7_-36,-7,-36,CHEES_-35_6000.csv,-35,6000,2.94417988,2.806660231,1.237676844
0.8_-14_-36,-14,-36,CHEES_-35_6000.csv,-35,6000,2.94611989,2.809061449,1.233525968
0.8_-20_-36,-20,-36,CHEES_-35_6000.csv,-35,6000,2.96249092,2.827047976,1.218986499
0.8_-16_-36,-16,-36,CHEES_-35_6000.csv,-35,6000,2.965542108,2.829897107,1.220805005
